NAME,GEO_ID,pop,agebysex_total_series,age_total_male,age_m_u5,age_m_5to9,age_m_10to14,age_m_15to17,age_m_18to19,age_m_20,age_m_21,age_m_22to24,age_m_25to29,age_m_30to34,age_m_35to39,age_m_40to44,age_m_45to49,age_m_50to54,age_m_55to59,age_m_60to61,age_m_62to64,age_m_65to66,age_m_67to69,age_m_70to74,age_m_75to79,age_m_80to84,age_m_85+,age_total_female,age_f_u5,age_f_5to9,age_f_10to14,age_f_15to17,age_f_18to19,age_f_20,age_f_21,age_f_22to24,age_f_25to29,age_f_30to34,age_f_35to39,age_f_40to44,age_f_45to49,age_f_50to54,age_f_55to59,age_f_60to61,age_f_62to64,age_f_65to66,age_f_67to69,age_f_70to74,age_f_75to79,age_f_80to84,age_f_85+,raceeth_total_series,raceeth_total_oneracealone,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces_alone,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,hhsize_avg,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,tenure_total_series,tenure_owneroccunits,tenure_renteroccunits,hhtype_total_series,hhtype_oneperson,hhtype_oneperson_male,hhtype_oneperson_female,hhtype_twoormore,hhtype_twoormore_family,hhtype_twoormore_family_marriedcouplefam,hhtype_twoormore_family_marriedcouplefam_ownchildrenunder18,hhtype_twoormore_family_marriedcouplefam_noownchildrenunder18,hhtype_twoormore_family_otherfam,hhtype_twoormore_family_otherfam_malenospouse,hhtype_twoormore_family_otherfam_malenospouse_ownchildrenunder18,hhtype_twoormore_family_otherfam_malenospouse_noownchildrenunder18,hhtype_twoormore_family_otherfam_femalenospouse,hhtype_twoormore_family_otherfam_femalenospouse_ownchildrenunder18,hhtype_twoormore_family_otherfam_femalenospouse_noownchildrenunder18,hhtype_twoormore_nonfamily,hhtype_twoormore_nonfamily_male,hhtype_twoormore_nonfamily_female,StateFIPS,GeoFIPS
"Cheatham County, Tennessee",0500000US47021,35912.0,35912.0,17981.0,1372.0,1473.0,1487.0,829.0,440.0,180.0,177.0,570.0,1133.0,1388.0,1787.0,1617.0,1411.0,1231.0,881.0,284.0,394.0,221.0,268.0,389.0,226.0,135.0,88.0,17931.0,1187.0,1330.0,1398.0,854.0,369.0,173.0,182.0,518.0,1201.0,1487.0,1780.0,1649.0,1372.0,1161.0,850.0,289.0,373.0,217.0,312.0,433.0,327.0,204.0,265.0,35912.0,35660.0,34783.0,532.0,135.0,63.0,17.0,130.0,252.0,34506.0,437.0,2.76,13508.0,13508.0,12878.0,630.0,12878.0,10773.0,2105.0,12878.0,2177.0,1042.0,1135.0,10701.0,10162.0,8356.0,4026.0,4330.0,1806.0,564.0,357.0,207.0,1242.0,714.0,528.0,539.0,330.0,209.0,47.0,21.0
"Davidson County, Tennessee",0500000US47037,569891.0,569891.0,275865.0,19466.0,18200.0,17089.0,10120.0,9254.0,4730.0,4558.0,14070.0,26542.0,24511.0,24019.0,22218.0,19891.0,16467.0,11655.0,3874.0,5310.0,3010.0,4378.0,6608.0,4941.0,2961.0,1993.0,294026.0,18347.0,17524.0,16143.0,9558.0,9399.0,4935.0,4832.0,14420.0,25950.0,23184.0,24029.0,23233.0,20978.0,17698.0,13313.0,4521.0,6409.0,4016.0,5878.0,9508.0,8301.0,5841.0,6009.0,569891.0,558652.0,381783.0,147696.0,1679.0,13275.0,403.0,13816.0,11239.0,371150.0,26091.0,2.3,252977.0,252977.0,237405.0,15572.0,237405.0,131340.0,106065.0,237405.0,79249.0,34151.0,45098.0,158156.0,138106.0,94784.0,39175.0,55609.0,43322.0,9283.0,4111.0,5172.0,34039.0,19985.0,14054.0,20050.0,11527.0,8523.0,47.0,37.0
"Dickson County, Tennessee",0500000US47043,43156.0,43156.0,21158.0,1538.0,1686.0,1726.0,957.0,557.0,250.0,236.0,701.0,1416.0,1594.0,1779.0,1756.0,1467.0,1361.0,1104.0,384.0,548.0,338.0,428.0,538.0,414.0,242.0,138.0,21998.0,1437.0,1584.0,1601.0,957.0,532.0,246.0,227.0,744.0,1459.0,1649.0,1753.0,1828.0,1513.0,1431.0,1129.0,381.0,556.0,322.0,505.0,693.0,579.0,462.0,410.0,43156.0,42718.0,40243.0,1978.0,172.0,116.0,5.0,204.0,438.0,40020.0,484.0,2.59,17614.0,17614.0,16473.0,1141.0,16473.0,12539.0,3934.0,16473.0,3678.0,1591.0,2087.0,12795.0,12175.0,9604.0,4322.0,5282.0,2571.0,670.0,387.0,283.0,1901.0,1162.0,739.0,620.0,384.0,236.0,47.0,43.0
"Houston County, Tennessee",0500000US47083,8088.0,8088.0,3999.0,268.0,311.0,266.0,174.0,86.0,36.0,39.0,146.0,264.0,256.0,255.0,300.0,280.0,266.0,234.0,83.0,150.0,73.0,112.0,158.0,112.0,77.0,53.0,4089.0,273.0,243.0,298.0,137.0,78.0,37.0,43.0,127.0,244.0,240.0,277.0,271.0,293.0,274.0,260.0,92.0,137.0,92.0,112.0,180.0,151.0,113.0,117.0,8088.0,8011.0,7650.0,268.0,15.0,10.0,5.0,63.0,77.0,7611.0,101.0,2.46,3901.0,3901.0,3216.0,685.0,3216.0,2476.0,740.0,3216.0,815.0,368.0,447.0,2401.0,2300.0,1833.0,746.0,1087.0,467.0,134.0,59.0,75.0,333.0,194.0,139.0,101.0,68.0,33.0,47.0,83.0
"Humphreys County, Tennessee",0500000US47085,17929.0,17929.0,8819.0,567.0,610.0,660.0,402.0,214.0,108.0,110.0,280.0,537.0,536.0,651.0,701.0,635.0,624.0,589.0,202.0,275.0,153.0,240.0,312.0,225.0,114.0,74.0,9110.0,505.0,597.0,584.0,357.0,198.0,89.0,89.0,278.0,602.0,571.0,669.0,668.0,684.0,633.0,556.0,192.0,301.0,174.0,255.0,394.0,290.0,236.0,188.0,17929.0,17777.0,17125.0,527.0,48.0,46.0,2.0,29.0,152.0,17030.0,148.0,2.44,8482.0,8482.0,7238.0,1244.0,7238.0,5641.0,1597.0,7238.0,1808.0,788.0,1020.0,5430.0,5145.0,4144.0,1616.0,2528.0,1001.0,266.0,139.0,127.0,735.0,441.0,294.0,285.0,180.0,105.0,47.0,85.0
"Macon County, Tennessee",0500000US47111,20386.0,20386.0,10061.0,734.0,746.0,766.0,469.0,274.0,126.0,150.0,342.0,743.0,801.0,779.0,705.0,720.0,664.0,574.0,158.0,256.0,164.0,208.0,295.0,195.0,120.0,72.0,10325.0,712.0,717.0,727.0,443.0,226.0,124.0,125.0,376.0,669.0,765.0,783.0,742.0,683.0,655.0,585.0,187.0,278.0,150.0,245.0,322.0,332.0,247.0,232.0,20386.0,20297.0,19949.0,44.0,85.0,48.0,14.0,157.0,89.0,19784.0,349.0,2.55,8894.0,8894.0,7916.0,978.0,7916.0,6225.0,1691.0,7916.0,1887.0,809.0,1078.0,6029.0,5806.0,4802.0,2202.0,2600.0,1004.0,307.0,160.0,147.0,697.0,411.0,286.0,223.0,145.0,78.0,47.0,111.0
"Maury County, Tennessee",0500000US47119,69498.0,69498.0,33782.0,2444.0,2512.0,2746.0,1748.0,967.0,460.0,429.0,1168.0,2177.0,2249.0,2615.0,3068.0,2707.0,2296.0,1661.0,527.0,718.0,416.0,654.0,908.0,625.0,396.0,291.0,35716.0,2322.0,2324.0,2617.0,1521.0,931.0,427.0,435.0,1262.0,2169.0,2397.0,2928.0,3123.0,2739.0,2316.0,1702.0,606.0,821.0,507.0,794.0,1265.0,1029.0,779.0,702.0,69498.0,68629.0,57262.0,9904.0,214.0,232.0,14.0,1003.0,869.0,56327.0,2264.0,2.58,28674.0,28674.0,26444.0,2230.0,26444.0,19247.0,7197.0,26444.0,6126.0,2569.0,3557.0,20318.0,19274.0,14792.0,6660.0,8132.0,4482.0,1075.0,556.0,519.0,3407.0,1994.0,1413.0,1044.0,625.0,419.0,47.0,119.0
"Montgomery County, Tennessee",0500000US47125,134768.0,134768.0,67775.0,5901.0,5751.0,5340.0,2863.0,2128.0,1317.0,1380.0,4050.0,6608.0,6027.0,5842.0,5081.0,3888.0,3200.0,2251.0,772.0,1070.0,654.0,1011.0,1224.0,704.0,417.0,296.0,66993.0,5552.0,5335.0,4878.0,2709.0,1987.0,1148.0,1168.0,3374.0,5987.0,5619.0,5840.0,5196.0,4018.0,3294.0,2529.0,881.0,1285.0,779.0,1068.0,1440.0,1279.0,844.0,783.0,134768.0,130849.0,98611.0,25848.0,709.0,2455.0,287.0,2939.0,3919.0,95515.0,6960.0,2.7,52167.0,52167.0,48330.0,3837.0,48330.0,30700.0,17630.0,48330.0,9740.0,4727.0,5013.0,38590.0,35964.0,28371.0,14702.0,13669.0,7593.0,1701.0,1011.0,690.0,5892.0,3951.0,1941.0,2626.0,1736.0,890.0,47.0,125.0
"Robertson County, Tennessee",0500000US47147,54433.0,54433.0,27051.0,1897.0,2112.0,2267.0,1285.0,771.0,358.0,316.0,997.0,1774.0,2035.0,2390.0,2299.0,1979.0,1740.0,1291.0,445.0,623.0,365.0,507.0,686.0,470.0,263.0,181.0,27382.0,1823.0,2019.0,2027.0,1152.0,623.0,331.0,315.0,906.0,1749.0,2123.0,2429.0,2289.0,2035.0,1726.0,1305.0,431.0,684.0,420.0,598.0,789.0,682.0,495.0,431.0,54433.0,53995.0,48518.0,4691.0,154.0,169.0,12.0,451.0,438.0,47644.0,1447.0,2.71,20995.0,20995.0,19906.0,1089.0,19906.0,15222.0,4684.0,19906.0,3711.0,1611.0,2100.0,16195.0,15442.0,12327.0,5666.0,6661.0,3115.0,882.0,441.0,441.0,2233.0,1335.0,898.0,753.0,471.0,282.0,47.0,147.0
"Rutherford County, Tennessee",0500000US47149,182023.0,182023.0,90585.0,7027.0,7045.0,6692.0,3821.0,3338.0,1861.0,1899.0,5023.0,7662.0,7512.0,8195.0,7231.0,6140.0,5079.0,3708.0,1149.0,1497.0,811.0,1183.0,1566.0,1107.0,635.0,404.0,91438.0,6629.0,6688.0,6487.0,3722.0,3520.0,1994.0,1894.0,4479.0,7340.0,7374.0,8153.0,7500.0,6162.0,5102.0,3719.0,1195.0,1564.0,943.0,1308.0,1941.0,1600.0,1054.0,1070.0,182023.0,179833.0,156050.0,17312.0,522.0,3467.0,74.0,2408.0,2190.0,153762.0,5065.0,2.65,70616.0,70616.0,66443.0,4173.0,66443.0,46399.0,20044.0,66443.0,13835.0,6523.0,7312.0,52608.0,47457.0,37394.0,18935.0,18459.0,10063.0,2641.0,1408.0,1233.0,7422.0,4755.0,2667.0,5151.0,3008.0,2143.0,47.0,149.0
