NAME,GEO_ID,Population,Male Under 5,Female Under 5,Male 5 to 14,Female 5 to 14,Male 15 to 24,Female 15 to 24,Male 5 to 9,Female 5 to 9,Male 10 to 14,Female 10 to 14,Male 15 to 17,Female 15 to 17,Male 18 to 24,Female 18 to 24,Male 25 to 34,Female 25 to 34,Male 35 to 44,Female 35 to 44,Male 45 to 54,Female 45 to 54,Male 55 to 64,Female 55 to 64,Male 65 to 74,Female 65 to 74,Male 75 to 84,Female 75 to 84,Male 85 and Older,Female 85 and Older,Age:Under 5,Age %:Under 5,Age:5 to 9,Age%:5 to 9,Age:10 to 14,Age%:10 to 14,Age:15 to 17,Age%:15 to 17,Age:18 to 24,Age%:18 to 24,Age:25 to 34,Age%:25 to 34,Age:35 to 44,Age%:35 to 44,Age:45 to 54,Age%:45 to 54,Age:55 to 64,Age%:55 to 64,Age:65 to 74,Age%:65 to 74,Age:75 to 84,Age%:75 to 84,Age:85 and Older,Age%:85 and Older,Age:School Age 5 to 18,Age%:School Age 5 to 18,Age:Under 18,Age%:Under 18,Age:18 to 54,Age%:18 to 54,Age:55 and Older,Age%:55 and Older,Age:65 and Older,Age%:65 and Older,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Total Households,Family Households,Family Households: Married Couple Family,"Household Type%: Family, Married Couple Households",Family Households: Not Married Couple Family,"Household Type%: Family, Not Married Couple Households",Family Households: Not Married Couple: Male no Spouse,Family Households: Not Married Couple: Female no Spouse,Nonfamily Households,Nonfamily Households: Householder Alone,"Household Type%: Nonfamily, Householder Alone",Nonfamily Households: Householder not Alone,"Household Type%: Nonfamily, Householder Not Alone",Average Household Size,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy%:Occupied Units,Occupancy:Vacant Units,Occupancy%:Vacant Units,Tenure:Total Households,Tenure:Owners,Tenure%:Owners,Tenure:Renters,Tenure%:Renters
"Cheatham County, Tennessee",0500000US47021,35912.0,1372.0,1187.0,2960.0,2728.0,2196.0,2096.0,1473.0,1330.0,1487.0,1398.0,829.0,854.0,1367.0,1242.0,2521.0,2688.0,3404.0,3429.0,2642.0,2533.0,1559.0,1512.0,878.0,962.0,361.0,531.0,88.0,265.0,2559.0,7.125751837825796,2803.0,7.805190465582536,2885.0,8.033526397861438,1683.0,4.686455780797505,2609.0,7.264981064825128,5209.0,14.504900868790378,6833.0,19.02706616172867,5937.0,16.532078413900646,3071.0,8.551459122298953,1840.0,5.123635553575406,892.0,2.4838494096680774,353.0,0.9829583426152817,7371.0,20.52517264424148,9930.0,27.650924482067275,19826.0,55.20717308977501,6156.0,17.141902428157717,3085.0,8.590443305858766,34783.0,96.85620405435509,1129.0,532.0,1.4813989752728893,47.12134632418069,135.0,0.37591891289819557,11.95748449955713,63.0,0.17542882601915794,5.580159433126661,17.0,0.04733793717977278,1.5057573073516386,130.0,0.36199599019826245,11.514614703277235,252.0,0.7017153040766317,22.320637732506643,437.0,1.216863443974159,35475.0,98.78313655602584,1406.0,3.9151258632212076,34506.0,96.0848741367788,12878.0,10162.0,8356.0,64.88585184034787,1806.0,14.023916757260443,564.0,1242.0,2716.0,2177.0,16.904798881813946,539.0,4.18543252057773,2.76,13508.0,12878.0,95.33609712762808,630.0,4.663902872371928,12878.0,10773.0,83.65429414505357,2105.0,16.34570585494642
"Davidson County, Tennessee",0500000US47037,569891.0,19466.0,18347.0,35289.0,33667.0,42732.0,43144.0,18200.0,17524.0,17089.0,16143.0,10120.0,9558.0,32612.0,33586.0,51053.0,49134.0,46237.0,47262.0,36358.0,38676.0,20839.0,24243.0,13996.0,19402.0,7902.0,14142.0,1993.0,6009.0,37813.0,6.635128471935861,35724.0,6.268567147050927,33232.0,5.831290545034051,19678.0,3.4529410009984365,66198.0,11.615905497717986,100187.0,17.580028461583005,93499.0,16.4064707110658,84913.0,14.899866816636868,45082.0,7.910635542586214,33398.0,5.86041892221495,22044.0,3.868108111902101,8002.0,1.4041281578407099,88634.0,15.552798693083414,126447.0,22.187927165019275,334918.0,58.768782100436745,108526.0,19.043290734543973,63444.0,11.13265519195776,381783.0,66.99228448949009,188108.0,147696.0,25.916534916326107,78.51659684861887,1679.0,0.29461774269114616,0.892572352053076,13275.0,2.3293928137134996,7.057116124779382,403.0,0.07071527713194278,0.21423862887277523,13816.0,2.424323247778961,7.344716864779807,11239.0,1.9721315128682502,5.974759180896081,26091.0,4.578243909800295,543800.0,95.42175609019971,198741.0,34.873510899452704,371150.0,65.1264891005473,237405.0,138106.0,94784.0,39.9250226406352,43322.0,18.248141361807882,9283.0,34039.0,99299.0,79249.0,33.381352541016405,20050.0,8.44548345654051,2.3,252977.0,237405.0,93.84449969760097,15572.0,6.155500302399032,237405.0,131340.0,55.32318190434068,106065.0,44.676818095659314
"Dickson County, Tennessee",0500000US47043,43156.0,1538.0,1437.0,3412.0,3185.0,2701.0,2706.0,1686.0,1584.0,1726.0,1601.0,957.0,957.0,1744.0,1749.0,3010.0,3108.0,3535.0,3581.0,2828.0,2944.0,2036.0,2066.0,1304.0,1520.0,656.0,1041.0,138.0,410.0,2975.0,6.893595328575401,3270.0,7.577161924182037,3327.0,7.709240893502642,1914.0,4.435072759291871,3493.0,8.093891926962646,6118.0,14.176476040411531,7116.0,16.489016590972287,6479.0,15.012976179442026,4102.0,9.505051441282788,2824.0,6.543701918620817,1697.0,3.9322458059134306,548.0,1.2698118453980907,8511.0,19.721475576976548,11486.0,26.615070905551953,22499.0,52.13411808323293,9171.0,21.250811011215127,5069.0,11.74575956993234,40243.0,93.25006951524702,2913.0,1978.0,4.583371952915006,67.90250600755236,172.0,0.3985540828621744,5.904565739787161,116.0,0.2687922884419316,3.9821489872983182,5.0,0.011585874501807397,0.17164435290078955,204.0,0.4727036796737418,7.003089598352215,438.0,1.014922606358328,15.036045314109167,484.0,1.1215126517749558,42672.0,98.87848734822504,3136.0,7.266660487533599,40020.0,92.7333395124664,16473.0,12175.0,9604.0,58.30146300006071,2571.0,15.607357494081223,670.0,1901.0,4298.0,3678.0,22.32744490985249,620.0,3.763734596005585,2.59,17614.0,16473.0,93.52219825139095,1141.0,6.47780174860906,16473.0,12539.0,76.11849693437746,3934.0,23.881503065622532
"Houston County, Tennessee",0500000US47083,8088.0,268.0,273.0,577.0,541.0,481.0,422.0,311.0,243.0,266.0,298.0,174.0,137.0,307.0,285.0,520.0,484.0,555.0,548.0,546.0,567.0,467.0,489.0,343.0,384.0,189.0,264.0,53.0,117.0,541.0,6.688921859545005,554.0,6.849653808110781,564.0,6.973293768545995,311.0,3.845202769535114,592.0,7.319485657764589,1004.0,12.413452027695351,1103.0,13.637487636003955,1122.0,13.87240356083086,956.0,11.81998021760633,727.0,8.988625123639961,453.0,5.600890207715134,170.0,2.101879327398615,1429.0,17.668150346191887,1970.0,24.357072205736895,3812.0,47.13155291790307,2306.0,28.51137487636004,1350.0,16.69139465875371,7650.0,94.58456973293768,438.0,268.0,3.3135509396636995,61.18721461187214,15.0,0.185459940652819,3.4246575342465753,10.0,0.12363996043521265,2.28310502283105,5.0,0.061819980217606325,1.141552511415525,63.0,0.7789317507418397,14.383561643835616,77.0,0.9520276953511375,17.579908675799086,101.0,1.248763600395648,7987.0,98.75123639960435,477.0,5.897626112759644,7611.0,94.10237388724035,3216.0,2300.0,1833.0,56.99626865671642,467.0,14.521144278606965,134.0,333.0,916.0,815.0,25.342039800995025,101.0,3.1405472636815923,2.46,3901.0,3216.0,82.44039989746219,685.0,17.55960010253781,3216.0,2476.0,76.99004975124379,740.0,23.00995024875622
"Humphreys County, Tennessee",0500000US47085,17929.0,567.0,505.0,1270.0,1181.0,1114.0,1011.0,610.0,597.0,660.0,584.0,402.0,357.0,712.0,654.0,1073.0,1173.0,1352.0,1337.0,1259.0,1317.0,1066.0,1049.0,705.0,823.0,339.0,526.0,74.0,188.0,1072.0,5.979139940877907,1207.0,6.732109989402643,1244.0,6.938479558257571,759.0,4.233364939483518,1366.0,7.6189413798873336,2246.0,12.527190585085615,2689.0,14.99804785542975,2669.0,14.88649673712979,2115.0,11.796530760220872,1528.0,8.522505438117017,865.0,4.824585866473311,262.0,1.4613196497294887,3210.0,17.903954487143732,4282.0,23.883094428021643,8877.0,49.51196385743767,4770.0,26.604941714540686,2655.0,14.808410954319818,17125.0,95.51564504434157,804.0,527.0,2.939371967203971,65.54726368159204,48.0,0.26772268391990633,5.970149253731343,46.0,0.2565675720899102,5.721393034825871,2.0,0.011155111829996097,0.24875621890547264,29.0,0.1617491215349434,3.6069651741293534,152.0,0.8477884990797033,18.90547263681592,148.0,0.8254782754197112,17781.0,99.17452172458029,899.0,5.014222767583245,17030.0,94.98577723241675,7238.0,5145.0,4144.0,57.25338491295938,1001.0,13.829787234042554,266.0,735.0,2093.0,1808.0,24.97927604310583,285.0,3.9375518098922355,2.44,8482.0,7238.0,85.33364772459325,1244.0,14.666352275406744,7238.0,5641.0,77.9358938933407,1597.0,22.0641061066593
"Macon County, Tennessee",0500000US47111,20386.0,734.0,712.0,1512.0,1444.0,1361.0,1294.0,746.0,717.0,766.0,727.0,469.0,443.0,892.0,851.0,1544.0,1434.0,1484.0,1525.0,1384.0,1338.0,988.0,1050.0,667.0,717.0,315.0,579.0,72.0,232.0,1446.0,7.093103109977436,1463.0,7.176493672127932,1493.0,7.323653487687628,912.0,4.473658393014814,1743.0,8.549985284018444,2978.0,14.608064357892673,3009.0,14.760129500637692,2822.0,13.842833316982242,2038.0,9.997056803688805,1384.0,6.788972824487393,894.0,4.385362503678995,304.0,1.4912194643382715,3868.0,18.973805552830374,5314.0,26.06690866280781,10452.0,51.270479740998724,4620.0,22.662611596193464,2582.0,12.66555479250466,19949.0,97.85637202001374,437.0,44.0,0.21583439615422348,10.068649885583524,85.0,0.41695281075247714,19.450800915331808,48.0,0.2354557048955165,10.983981693363845,14.0,0.06867458059452565,3.203661327231121,157.0,0.7701363680957519,35.92677345537758,89.0,0.43657411949377023,20.36613272311213,349.0,1.7119591876778182,20037.0,98.28804081232218,602.0,2.953006965564603,19784.0,97.04699303443539,7916.0,5806.0,4802.0,60.661950480040424,1004.0,12.683173319858515,307.0,697.0,2110.0,1887.0,23.8377968671046,223.0,2.817079332996463,2.55,8894.0,7916.0,89.00382280188892,978.0,10.996177198111086,7916.0,6225.0,78.63820111167256,1691.0,21.36179888832744
"Maury County, Tennessee",0500000US47119,69498.0,2444.0,2322.0,5258.0,4941.0,4772.0,4576.0,2512.0,2324.0,2746.0,2617.0,1748.0,1521.0,3024.0,3055.0,4426.0,4566.0,5683.0,6051.0,5003.0,5055.0,2906.0,3129.0,1978.0,2566.0,1021.0,1808.0,291.0,702.0,4766.0,6.857751302195747,4836.0,6.958473625140292,5363.0,7.716768827879939,3269.0,4.70373248151026,6079.0,8.747014302569859,8992.0,12.938501827390716,11734.0,16.88393910616133,10738.0,15.450804339693228,6035.0,8.683703128147572,4544.0,6.538317649428762,2829.0,4.0706207372874035,993.0,1.4288180954847622,13468.0,19.37897493453049,18234.0,26.236726236726238,36863.0,53.04181415292526,14401.0,20.7214596103485,8366.0,12.037756482200928,57262.0,82.3937379492935,12236.0,9904.0,14.250769806325362,80.94148414514547,214.0,0.30792253014475235,1.7489375612945408,232.0,0.3338225560447783,1.8960444589735208,14.0,0.020144464588909033,0.11441647597254005,1003.0,1.4432069987625542,8.197123242889834,869.0,1.2503956948401391,7.101994115724093,2264.0,3.2576477020921466,67234.0,96.74235229790786,13171.0,18.95162450718006,56327.0,81.04837549281993,26444.0,19274.0,14792.0,55.93707457268189,4482.0,16.949024353350474,1075.0,3407.0,7170.0,6126.0,23.165935561942216,1044.0,3.9479655120254122,2.58,28674.0,26444.0,92.22291971821161,2230.0,7.77708028178838,26444.0,19247.0,72.78399636968689,7197.0,27.21600363031311
"Montgomery County, Tennessee",0500000US47125,134768.0,5901.0,5552.0,11091.0,10213.0,11738.0,10386.0,5751.0,5335.0,5340.0,4878.0,2863.0,2709.0,8875.0,7677.0,12635.0,11606.0,10923.0,11036.0,7088.0,7312.0,4093.0,4695.0,2889.0,3287.0,1121.0,2123.0,296.0,783.0,11453.0,8.498308203727888,11086.0,8.225988365190549,10218.0,7.581918556333848,5572.0,4.134512643951086,16552.0,12.2818473228066,24241.0,17.987207645731925,21959.0,16.29392734180221,18235.0,13.530660097352488,8788.0,6.520835806719696,6176.0,4.582690252879021,3244.0,2.4070996082156,1079.0,0.8006351656179509,26876.0,19.942419565475483,38329.0,28.440727769203374,77152.0,57.248011397364365,19287.0,14.311260833432268,10499.0,7.790425026712573,98611.0,73.17093078475602,36157.0,25848.0,19.17962721120741,71.48823187764471,709.0,0.5260892793541494,1.9608927731836159,2455.0,1.821649056155764,6.789833227314213,287.0,0.21295856583165143,0.7937605442929447,2939.0,2.180784756025169,8.128439859501619,3919.0,2.9079603466698325,10.838841718062893,6960.0,5.164430725394753,127808.0,94.83556927460525,39253.0,29.126350468954055,95515.0,70.87364953104594,48330.0,35964.0,28371.0,58.70266914959652,7593.0,15.710738671632527,1701.0,5892.0,12366.0,9740.0,20.15311400786261,2626.0,5.433478170908339,2.7,52167.0,48330.0,92.64477543274484,3837.0,7.355224567255162,48330.0,30700.0,63.521622180840055,17630.0,36.47837781915994
"Robertson County, Tennessee",0500000US47147,54433.0,1897.0,1823.0,4379.0,4046.0,3727.0,3327.0,2112.0,2019.0,2267.0,2027.0,1285.0,1152.0,2442.0,2175.0,3809.0,3872.0,4689.0,4718.0,3719.0,3761.0,2359.0,2420.0,1558.0,1807.0,733.0,1177.0,181.0,431.0,3720.0,6.834089614755754,4131.0,7.589146289934415,4294.0,7.8885969907960245,2437.0,4.477063546010692,4617.0,8.4819870299267,7681.0,14.110925357779289,9407.0,17.281795969356825,8450.0,15.523671302334979,4779.0,8.779600609924126,3365.0,6.181911707971268,1910.0,3.50890085058696,612.0,1.1243179688791727,10862.0,19.95480682674113,14582.0,26.788896441496885,29185.0,53.61637242114159,10666.0,19.594731137361528,5887.0,10.8151305274374,48518.0,89.13343008836551,5915.0,4691.0,8.617933973876141,79.30684699915469,154.0,0.2829166130839748,2.603550295857988,169.0,0.3104734260466996,2.857142857142857,12.0,0.022045450370179853,0.2028740490278952,451.0,0.8285415097459262,7.624683009298394,438.0,0.8046589385115648,7.404902789518173,1447.0,2.658313890470854,52986.0,97.34168610952915,6789.0,12.472213546929252,47644.0,87.52778645307075,19906.0,15442.0,12327.0,61.926052446498545,3115.0,15.648548176429216,882.0,2233.0,4464.0,3711.0,18.64262031548277,753.0,3.7827790615894705,2.71,20995.0,19906.0,94.81305072636343,1089.0,5.18694927363658,19906.0,15222.0,76.46940620918316,4684.0,23.53059379081684
"Rutherford County, Tennessee",0500000US47149,182023.0,7027.0,6629.0,13737.0,13175.0,15942.0,15609.0,7045.0,6688.0,6692.0,6487.0,3821.0,3722.0,12121.0,11887.0,15174.0,14714.0,15426.0,15653.0,11219.0,11264.0,6354.0,6478.0,3560.0,4192.0,1742.0,2654.0,404.0,1070.0,13656.0,7.50234860429726,13733.0,7.544650950704032,13179.0,7.240293809024134,7543.0,4.143981804497234,24008.0,13.189541980958449,29888.0,16.419902979293827,31079.0,17.074215895793387,26690.0,14.66298215060734,12832.0,7.049658559632574,7752.0,4.258802459029902,4396.0,2.415079413041209,1474.0,0.8097877740725073,34455.0,18.9289265642254,48111.0,26.43127516852266,107458.0,59.03539662570115,26454.0,14.533328205776193,13622.0,7.4836696461436185,156050.0,85.7309241139856,25973.0,17312.0,9.510885986935717,66.65383282639664,522.0,0.28677694577058943,2.0097793862857585,3467.0,1.9047043505491066,13.348477264851963,74.0,0.04065420304027513,0.2849112539945328,2408.0,1.3229097421754394,9.271166211065337,2190.0,1.2031446575432776,8.431833057405766,5065.0,2.7826153837701826,176958.0,97.21738461622982,28261.0,15.52605989352994,153762.0,84.47394010647005,66443.0,47457.0,37394.0,56.27981879204732,10063.0,15.145312523516397,2641.0,7422.0,18986.0,13835.0,20.822359014493628,5151.0,7.752509669942658,2.65,70616.0,66443.0,94.09057437407952,4173.0,5.909425625920471,66443.0,46399.0,69.83278900711888,20044.0,30.167210992881117
