NAME,Year,Series,Series Code,Permits,GEO_ID
"Cheatham County, Tennessee",2021,Total Units,1,407,0500000US47021
"Cheatham County, Tennessee",2021,Units in Single-Family Structures,2,260,0500000US47021
"Cheatham County, Tennessee",2021,Units in All Multi-Family Structures,3,147,0500000US47021
"Davidson County, Tennessee",2021,Total Units,1,16310,0500000US47037
"Davidson County, Tennessee",2021,Units in Single-Family Structures,2,4105,0500000US47037
"Davidson County, Tennessee",2021,Units in All Multi-Family Structures,3,12205,0500000US47037
"Dickson County, Tennessee",2021,Total Units,1,617,0500000US47043
"Dickson County, Tennessee",2021,Units in Single-Family Structures,2,473,0500000US47043
"Dickson County, Tennessee",2021,Units in All Multi-Family Structures,3,144,0500000US47043
"Houston County, Tennessee",2021,Total Units,1,1,0500000US47083
"Houston County, Tennessee",2021,Units in Single-Family Structures,2,1,0500000US47083
"Houston County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47083
"Humphreys County, Tennessee",2021,Total Units,1,20,0500000US47085
"Humphreys County, Tennessee",2021,Units in Single-Family Structures,2,20,0500000US47085
"Humphreys County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47085
"Maury County, Tennessee",2021,Total Units,1,2397,0500000US47119
"Maury County, Tennessee",2021,Units in Single-Family Structures,2,1686,0500000US47119
"Maury County, Tennessee",2021,Units in All Multi-Family Structures,3,711,0500000US47119
"Montgomery County, Tennessee",2021,Total Units,1,4008,0500000US47125
"Montgomery County, Tennessee",2021,Units in Single-Family Structures,2,2119,0500000US47125
"Montgomery County, Tennessee",2021,Units in All Multi-Family Structures,3,1889,0500000US47125
"Robertson County, Tennessee",2021,Total Units,1,937,0500000US47147
"Robertson County, Tennessee",2021,Units in Single-Family Structures,2,905,0500000US47147
"Robertson County, Tennessee",2021,Units in All Multi-Family Structures,3,32,0500000US47147
"Rutherford County, Tennessee",2021,Total Units,1,3963,0500000US47149
"Rutherford County, Tennessee",2021,Units in Single-Family Structures,2,3488,0500000US47149
"Rutherford County, Tennessee",2021,Units in All Multi-Family Structures,3,475,0500000US47149
"Stewart County, Tennessee",2021,Total Units,1,3,0500000US47161
"Stewart County, Tennessee",2021,Units in Single-Family Structures,2,3,0500000US47161
"Stewart County, Tennessee",2021,Units in All Multi-Family Structures,3,0,0500000US47161
"Sumner County, Tennessee",2021,Total Units,1,1842,0500000US47165
