NAME,GEO_ID,Square Acres,Square Miles
"Franklin city, Kentucky",1600000US2128918,9437.74996019,14.746507077900226
"Scottsville city, Kentucky",1600000US2169114,4033.7768618050004,6.302786076574555
"Mount Juliet city, Tennessee",1600000US4750780,16041.182095405002,25.06438571752689
"Clarksville city, Tennessee",1600000US4715160,63616.393737945,99.40076866670957
"Dover city, Tennessee",1600000US4721400,2448.762858735,3.8261978735138995
"Westmoreland town, Tennessee",1600000US4779420,2674.91310763,4.1795581829167014
"Kingston Springs town, Tennessee",1600000US4739660,6434.1170247400005,10.053323371098998
"Pegram town, Tennessee",1600000US4757480,4638.478379925,7.247633657257237
"Pleasant View city, Tennessee",1600000US4759560,8013.815799260001,12.521606516729241
"Eagleville city, Tennessee",1600000US4722360,1800.8854252800002,2.813887820974253
"Cumberland City town, Tennessee",1600000US4718820,3203.3226867350004,5.005199424862179
"Tennessee Ridge town, Tennessee",1600000US4773460,2399.8634973900002,3.749792503460599
"White Bluff town, Tennessee",1600000US4779980,4029.7564634550004,6.296504194454947
"Dickson city, Tennessee",1600000US4720620,12940.551057465002,20.21964224161276
"Burns town, Tennessee",1600000US4709880,2161.62165953,3.37753905713347
"Charlotte town, Tennessee",1600000US4713080,2597.26480927,4.058232529431217
"Slayden town, Tennessee",1600000US4769080,980.99301212,1.5328039477226212
"Vanleer town, Tennessee",1600000US4776860,504.282246905,0.7879422271846565
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,304501.45200669504,475.78425325830784
"Goodlettsville city, Tennessee",1600000US4729920,9236.582273900001,14.432182082828987
"Berry Hill city, Tennessee",1600000US4705140,579.67521793,0.9057439262690542
"Ridgetop city, Tennessee",1600000US4763140,1937.4739495550002,3.027307719623558
"Franklin city, Tennessee",1600000US4727740,27361.198547365002,42.75193872909391
"Watertown city, Tennessee",1600000US4778320,919.118661435,1.4361251255281768
"Ashland City town, Tennessee",1600000US4702180,6827.555628900001,10.668072139125039
"Lebanon city, Tennessee",1600000US4741520,25378.44557182,39.65388242214197
"Hendersonville city, Tennessee",1600000US4733280,20107.310438020002,31.41772106090313
"Portland city, Tennessee",1600000US4760280,9281.344109125,14.502122558339527
"Waverly city, Tennessee",1600000US4778560,5576.666381315,8.713554672462875
"Cross Plains city, Tennessee",1600000US4718420,5561.10692078,8.689242977845458
"Millersville city, Tennessee",1600000US4748980,8856.616822760001,13.838485148895726
"White House city, Tennessee",1600000US4780200,7178.40222684,11.216270794694768
"Nolensville town, Tennessee",1600000US4753460,6683.968596815001,10.44371705514128
"Thompson's Station town, Tennessee",1600000US4773900,13021.64721189,20.346355178516493
"Adams city, Tennessee",1600000US4700200,1529.95110171,2.390552286866642
"Brentwood city, Tennessee",1600000US4708280,26310.18017903,41.10971999337491
"Fairview city, Tennessee",1600000US4725440,11095.12866251,17.33616529809225
"McEwen city, Tennessee",1600000US4744840,1179.35655087,1.8427474554986336
"Belle Meade city, Tennessee",1600000US4704620,1964.895191405,3.0701534761578513
"Forest Hills city, Tennessee",1600000US4727020,5911.0061181500005,9.235961317739307
"Oak Hill city, Tennessee",1600000US4754780,5020.613165860001,7.844720182040408
"Lafayette city, Tennessee",1600000US4740160,3386.647415185,5.291644755268839
"New Johnsonville city, Tennessee",1600000US4752820,3292.8760097850004,5.145126708142285
"Columbia city, Tennessee",1600000US4716540,21183.52980978,33.09931642526185
"Mount Pleasant city, Tennessee",1600000US4751080,8049.214826035,12.576917581452323
"La Vergne city, Tennessee",1600000US4741200,15817.414185815001,24.71474781903467
"Murfreesboro city, Tennessee",1600000US4751560,40248.45399843,62.888306457150605
"Erin city, Tennessee",1600000US4724320,2493.6136517600003,3.896277345801517
"Springfield city, Tennessee",1600000US4770500,8402.096086545,13.128295402195553
"Smyrna town, Tennessee",1600000US4769420,21137.500820115,33.02739601788226
"Cedar Hill city, Tennessee",1600000US4711980,412.16520948000004,0.6440091340095948
"Greenbrier town, Tennessee",1600000US4730960,4651.643640115,7.2682044080604635
"Coopertown town, Tennessee",1600000US4716980,20223.749032175,31.59965664513563
"Spring Hill city, Tennessee",1600000US4770580,17136.516521545,26.7758484004624
"Gallatin city, Tennessee",1600000US4728540,20590.76395737,32.173118351041445
"Mitchellville city, Tennessee",1600000US4749460,343.606668545,0.5368862484263729
"Rutherford County, Tennessee",0500000US47149,396329.93825136,619.2664845180725
"Trousdale County, Tennessee",0500000US47169,73178.56081853001,114.34167779533756
"Sumner County, Tennessee",0500000US47165,338853.33304292004,529.4591502386979
"Stewart County, Tennessee",0500000US47161,294256.22394144,459.7760596934994
"Macon County, Tennessee",0500000US47111,196571.61878833,307.14362851355475
"Houston County, Tennessee",0500000US47083,128187.74328126501,200.2936580827975
"Humphreys County, Tennessee",0500000US47085,339687.51578533504,530.7625627858806
"Montgomery County, Tennessee",0500000US47125,345067.747776635,539.1691882501193
"Dickson County, Tennessee",0500000US47043,313534.38986089,489.89824044413047
"Williamson County, Tennessee",0500000US47187,373031.486908895,582.8625980965194
"Robertson County, Tennessee",0500000US47147,304854.389112935,476.3357183381389
"Wilson County, Tennessee",0500000US47189,365356.70534726,570.8707333938747
"Davidson County, Tennessee",0500000US47037,322364.39446357003,503.695143934959
"Cheatham County, Tennessee",0500000US47021,193601.85208734,302.5033608797871
"Maury County, Tennessee",0500000US47119,392408.187429725,613.1387393994852
"Allen County, Kentucky",0500000US21003,220377.82123769002,344.34087726439424
"Simpson County, Kentucky",0500000US21213,149891.23464441,234.2054156894083
Tennessee,0400000US47,26388749.747347567,41232.48513339132
GNRC,,3788304.280678375,5919.234576451814
GNRC Region,,4180712.4681081004,6532.3733158513
MPO,,2493198.4345566654,3895.6285679197476
Rutherford Incorporated,None,79004.25442964,123.44433811504179
Rutherford Unincorporated,None,317325.68382172,495.8221464030307
Wilson Incorporated,None,42338.74632866,66.15439326519703
Wilson Unincorporated,None,323017.9590186,504.71634012867764
Cheatham Incorporated,None,25913.966832825,40.49063568421051
Cheatham Unincorporated,None,167687.88525451501,262.0127251955766
Dickson Incorporated,None,23214.469248745,36.272664197539676
Dickson Unincorporated,None,290319.92061214504,453.62557624659075
Humphreys Incorporated,None,10048.898941970001,15.701428836103794
Humphreys Unincorporated,None,329638.616843365,515.0611339497768
Montgomery Incorporated,None,63616.393737945,99.40076866670957
Montgomery Unincorporated,None,281451.35403869004,439.76841958340975
