,0,1,2,3,4,5
0,"Block 1023, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",3,47,043,060501,1023
1,"Block 1024, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",7,47,043,060501,1024
2,"Block 1025, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",10,47,043,060501,1025
3,"Block 1026, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",6,47,043,060501,1026
4,"Block 1027, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",26,47,043,060501,1027
5,"Block 1028, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",4,47,043,060501,1028
6,"Block 1029, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",7,47,043,060501,1029
7,"Block 1030, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",10,47,043,060501,1030
8,"Block 1031, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",42,47,043,060501,1031
9,"Block 1033, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",21,47,043,060501,1033
10,"Block 1035, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",0,47,043,060501,1035
11,"Block 1037, Block Group 1, Census Tract 605.01, Dickson County, Tennessee",5,47,043,060501,1037
12,"Block 2000, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",19,47,043,060501,2000
13,"Block 2002, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",14,47,043,060501,2002
14,"Block 2004, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",7,47,043,060501,2004
15,"Block 2005, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",8,47,043,060501,2005
16,"Block 2007, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",7,47,043,060501,2007
17,"Block 2008, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",4,47,043,060501,2008
18,"Block 2010, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",1,47,043,060501,2010
19,"Block 2012, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",5,47,043,060501,2012
20,"Block 2013, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",9,47,043,060501,2013
21,"Block 2014, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",14,47,043,060501,2014
22,"Block 2015, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",9,47,043,060501,2015
23,"Block 2016, Block Group 2, Census Tract 605.01, Dickson County, Tennessee",21,47,043,060501,2016
