NAME,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other,Square Miles,Square Acres,Population Per Square Mile,Population Per Square Acre,Housing Units Per Square Mile,Housing Units Per Square Acre
"Montgomery County, Tennessee",220069.0,137775.0,62.605364681077305,82294.0,44569.0,20.25228451076708,54.15826184168955,1154.0,0.5243809895987167,1.402289352808224,5202.0,2.363804079629571,6.321238486402411,1000.0,0.4544029372605864,1.2151554183780109,7890.0,3.585239174986027,9.587576251002504,22479.0,10.214523626680725,27.3154786497193,22934.0,10.42127696313429,197135.0,89.57872303686571,88775.0,40.339620755308566,131294.0,59.66037924469144,85714.0,79841.0,93.14814382714609,5873.0,6.85185617285391,4714.0,2.1420554462464043,1758.0,37.29316928298685,1084.0,61.66097838452787,22.995333050487908,32.0,1.8202502844141069,0.6788290199406024,642.0,36.51877133105802,13.619007212558335,0.0,0.0,0.0,2956.0,0.0,1450.0,49.05277401894452,30.75943996605855,1321.0,44.68876860622463,28.022910479423,1321.0,44.68876860622463,28.022910479423,539.1691882501193,345067.747776635,408.1631606476565,0.637755923055586,158.97421786691098,0.24839759888392504
"Rutherford County, Tennessee",341486.0,226227.0,66.24781103764137,115259.0,53977.0,15.806504512630092,46.8310500698427,1739.0,0.5092448885166596,1.508775887349361,12538.0,3.6716000070281054,10.87810930165974,254.0,0.0743807945274476,0.2203732463408497,19755.0,5.785010220038303,17.1396593758405,26996.0,7.905448539618022,23.422032118966847,38317.0,11.220664976016586,303169.0,88.77933502398342,122292.0,35.81171702500249,219194.0,64.1882829749975,131216.0,124465.0,94.85504816485796,6751.0,5.144951835142056,5723.0,1.6759105790574138,1851.0,32.34317665560021,774.0,41.81523500810373,13.524375327625371,43.0,2.323068611561318,0.7513541848680763,955.0,51.59373311723393,16.68705224532588,79.0,4.267963263101027,1.380394897780884,3872.0,1.380394897780884,2831.0,73.1146694214876,49.46706272933776,0.0,0.0,0.0,0.0,0.0,0.0,619.2664845180725,396329.93825136,551.4362694208331,0.8616205011073956,211.88939379161675,0.3310776889046931
"Sumner County, Tennessee",196281.0,158075.0,80.5350492406295,38206.0,15740.0,8.019115451826718,41.197717635973405,711.0,0.3622357742216516,1.8609642464534364,2956.0,1.506004147115615,7.737004658954091,119.0,0.0606273658683214,0.311469402711616,5321.0,2.7109093595406586,13.927131864105114,13359.0,6.80605866079753,34.96571219180233,12870.0,6.556926039708378,183411.0,93.44307396029164,41112.0,20.94548122334816,155169.0,79.05451877665183,78995.0,74472.0,94.27432115956708,4523.0,5.725678840432939,1612.0,0.8212715443675139,1377.0,85.42183622828784,572.0,41.539578794480754,35.483870967741936,25.0,1.815541031227306,1.5508684863523574,780.0,56.644880174291934,48.38709677419355,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.4591502386979,338853.33304292004,370.7198183495553,0.5792506103965002,149.19942353321574,0.2331244591594272
"Trousdale County, Tennessee",11615.0,8883.0,76.47869134739561,2732.0,1922.0,16.547567800258285,70.35139092240117,30.0,0.2582866982350409,1.0980966325036603,27.0,0.2324580284115368,0.9882869692532944,0.0,0.0,0.0,205.0,1.7649591046061126,7.503660322108345,548.0,4.718037021093414,20.05856515373353,375.0,3.228583727938012,11240.0,96.771416272062,2829.0,24.35643564356436,8786.0,75.64356435643565,3749.0,3469.0,92.53134169111765,280.0,7.468658308882368,2569.0,22.11795092552733,2549.0,99.22148695990658,2505.0,98.2738328756375,97.50875827170104,0.0,0.0,0.0,44.0,1.726167124362495,1.7127286882055277,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.34167779533756,73178.56081853001,101.58150749536769,0.15872135048956704,32.78769449850482,0.051230851742177085
"Williamson County, Tennessee",247726.0,203600.0,82.187578211411,44126.0,9876.0,3.9866626837715855,22.38136246204052,574.0,0.2317076124427795,1.3008203780084304,12953.0,5.228760808312409,29.354575533698952,117.0,0.0472296004456536,0.2651497983048543,5172.0,2.0877905427771006,11.720980827629967,15434.0,6.230270540839475,34.97711100031727,14261.0,5.756763520986897,233465.0,94.2432364790131,47318.0,19.10094216997812,200408.0,80.89905783002187,91133.0,86884.0,95.33758353176128,4249.0,4.662416468238728,1359.0,0.548589974407208,1252.0,92.12656364974244,189.0,15.095846645367413,13.90728476821192,28.0,2.2364217252396164,2.060338484179544,1035.0,82.66773162939297,76.15894039735099,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.8625980965194,373031.486908895,425.0161201096278,0.6640887128664873,156.35417386124473,0.24430377380517826
"Wilson County, Tennessee",147737.0,120782.0,81.7547398417458,26955.0,10191.0,6.89806886561931,37.80745687256539,601.0,0.4068039827531357,2.2296419959191245,3106.0,2.102384642980432,11.522908551289186,44.0,0.0297826543113776,0.1632350213318494,3827.0,2.590414046582779,14.197736969022444,9186.0,6.217805966007162,34.07902058987201,8375.0,5.668857496767905,139362.0,94.33114250323209,28848.0,19.52659117215051,118889.0,80.4734088278495,58152.0,55074.0,94.7069748245976,3078.0,5.293025175402394,1866.0,1.263055294205243,1057.0,56.64523043944266,381.0,36.04541154210029,20.418006430868168,17.0,1.608325449385052,0.9110396570203644,659.0,62.34626300851467,35.31618435155413,0.0,0.0,0.0,809.0,0.0,477.0,58.96168108776267,25.562700964630224,0.0,0.0,0.0,0.0,0.0,0.0,570.8707333938747,365356.70534726,258.792387414382,0.4043637295764988,101.86544273216013,0.15916499998194467
"Cheatham County, Tennessee",41072.0,36788.0,89.56953642384106,4284.0,819.0,1.9940592130892087,19.11764705882353,135.0,0.3286910790806389,3.1512605042016806,191.0,0.4650370081807557,4.458450046685341,26.0,0.0633034670821971,0.6069094304388423,780.0,1.899104012465913,18.207282913165265,2333.0,5.680268796260226,54.458450046685336,1839.0,4.4775029216984805,39233.0,95.52249707830153,4773.0,11.621055707051031,36299.0,88.37894429294897,16785.0,15706.0,93.57164134644027,1079.0,6.428358653559727,349.0,0.8497273081417998,224.0,64.18338108882521,80.0,35.714285714285715,22.922636103151863,0.0,0.0,0.0,144.0,64.28571428571429,41.26074498567336,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.5033608797871,193601.85208734,135.77369811875164,0.21214673081469854,55.48698682614059,0.0866985507578086
"Robertson County, Tennessee",72803.0,58467.0,80.30850377044902,14336.0,5168.0,7.098608573822506,36.049107142857146,335.0,0.4601458731096246,2.3367745535714284,460.0,0.631842094419186,3.2087053571428568,21.0,0.0288449651800063,0.146484375,3664.0,5.032759639025864,25.558035714285715,4688.0,6.439295083993792,32.700892857142854,6878.0,9.447412881337309,65925.0,90.5525871186627,15754.0,21.63921816408665,57049.0,78.36078183591336,28459.0,26885.0,94.46923644541268,1574.0,5.530763554587301,807.0,1.1084708047745286,690.0,85.50185873605948,477.0,69.1304347826087,59.10780669144982,0.0,0.0,0.0,213.0,30.869565217391305,26.394052044609666,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3357183381389,304854.389112935,152.83968259612845,0.23881237272601552,59.74567706005549,0.09335276452082573
"Stewart County, Tennessee",13657.0,12463.0,91.25723072417075,1194.0,172.0,1.2594273998681995,14.40536013400335,78.0,0.5711356813355788,6.532663316582915,77.0,0.5638134290107637,6.448911222780569,2.0,0.0146445046496302,0.1675041876046901,122.0,0.8933147836274438,10.217755443886096,743.0,5.4404334773376295,62.22780569514238,336.0,2.4602767811378783,13321.0,97.53972321886212,1336.0,9.782529105952992,12321.0,90.217470894047,6669.0,5470.0,82.02129254760834,1199.0,17.978707452391664,235.0,1.7207292963315517,235.0,100.0,167.0,71.06382978723404,71.06382978723404,0.0,0.0,0.0,68.0,28.936170212765955,28.936170212765955,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,459.7760596934994,294256.22394144,29.70359093751895,0.04641193248887025,14.504887454222294,0.02266392163493269
"Davidson County, Tennessee",715884.0,400622.0,55.961859742639874,315262.0,173092.0,24.17877756731537,54.90417494020846,3942.0,0.55064787032536,1.250388565700909,27869.0,3.892949137011025,8.83994899480432,354.0,0.0494493521296746,0.1122875576504621,56230.0,7.854624492236173,17.835958662953352,53775.0,7.511691838342524,17.057241278682493,98119.0,13.705991473478942,617765.0,86.29400852652105,329049.0,45.96401092914494,386835.0,54.03598907085505,328309.0,301236.0,91.75380510433769,27073.0,8.246194895662317,24801.0,3.4643880852205107,7230.0,29.15205032055159,4378.0,60.55325034578146,17.652514011531792,156.0,2.1576763485477177,0.6290068948832708,2497.0,34.53665283540802,10.068142413612357,199.0,2.752420470262794,0.8023870005241724,17571.0,0.8023870005241724,15112.0,86.005349723977,60.933026894076846,0.0,0.0,0.0,0.0,0.0,0.0,503.695143934959,322364.39446357003,1421.2644466003437,2.2207291260911917,651.8010029542667,1.0184406393464207
