Location,Year,Series,Series Code,Permits
Anderson County,2021,Total Units,1,458
Anderson County,2021,Units in Single-Family Structures,2,261
Anderson County,2021,Units in All Multi-Family Structures,3,197
Bedford County,2021,Total Units,1,390
Bedford County,2021,Units in Single-Family Structures,2,390
Bedford County,2021,Units in All Multi-Family Structures,3,0
Benton County,2021,Total Units,1,4
Benton County,2021,Units in Single-Family Structures,2,4
Benton County,2021,Units in All Multi-Family Structures,3,0
Blount County,2021,Total Units,1,922
Blount County,2021,Units in Single-Family Structures,2,788
Blount County,2021,Units in All Multi-Family Structures,3,134
Bradley County,2021,Total Units,1,543
Bradley County,2021,Units in Single-Family Structures,2,518
Bradley County,2021,Units in All Multi-Family Structures,3,25
Campbell County,2021,Total Units,1,388
Campbell County,2021,Units in Single-Family Structures,2,388
Campbell County,2021,Units in All Multi-Family Structures,3,0
Cannon County,2021,Total Units,1,28
Cannon County,2021,Units in Single-Family Structures,2,28
Cannon County,2021,Units in All Multi-Family Structures,3,0
Carroll County,2021,Total Units,1,13
Carroll County,2021,Units in Single-Family Structures,2,13
Carroll County,2021,Units in All Multi-Family Structures,3,0
Carter County,2021,Total Units,1,180
Carter County,2021,Units in Single-Family Structures,2,180
Carter County,2021,Units in All Multi-Family Structures,3,0
Cheatham County,2021,Total Units,1,407
Cheatham County,2021,Units in Single-Family Structures,2,260
Cheatham County,2021,Units in All Multi-Family Structures,3,147
Chester County,2021,Total Units,1,13
Chester County,2021,Units in Single-Family Structures,2,13
Chester County,2021,Units in All Multi-Family Structures,3,0
Claiborne County,2021,Total Units,1,81
Claiborne County,2021,Units in Single-Family Structures,2,77
Claiborne County,2021,Units in All Multi-Family Structures,3,4
Clay County,2021,Total Units,1,27
Clay County,2021,Units in Single-Family Structures,2,27
Clay County,2021,Units in All Multi-Family Structures,3,0
Cocke County,2021,Total Units,1,0
Cocke County,2021,Units in Single-Family Structures,2,0
Cocke County,2021,Units in All Multi-Family Structures,3,0
Coffee County,2021,Total Units,1,210
Coffee County,2021,Units in Single-Family Structures,2,110
Coffee County,2021,Units in All Multi-Family Structures,3,100
Crockett County,2021,Total Units,1,36
Crockett County,2021,Units in Single-Family Structures,2,36
Crockett County,2021,Units in All Multi-Family Structures,3,0
Cumberland County,2021,Total Units,1,477
Cumberland County,2021,Units in Single-Family Structures,2,477
Cumberland County,2021,Units in All Multi-Family Structures,3,0
Davidson County,2021,Total Units,1,16310
Davidson County,2021,Units in Single-Family Structures,2,4105
Davidson County,2021,Units in All Multi-Family Structures,3,12205
Decatur County,2021,Total Units,1,3
Decatur County,2021,Units in Single-Family Structures,2,3
Decatur County,2021,Units in All Multi-Family Structures,3,0
DeKalb County,2021,Total Units,1,147
DeKalb County,2021,Units in Single-Family Structures,2,147
DeKalb County,2021,Units in All Multi-Family Structures,3,0
Dickson County,2021,Total Units,1,617
Dickson County,2021,Units in Single-Family Structures,2,473
Dickson County,2021,Units in All Multi-Family Structures,3,144
Dyer County,2021,Total Units,1,62
Dyer County,2021,Units in Single-Family Structures,2,62
Dyer County,2021,Units in All Multi-Family Structures,3,0
Fayette County,2021,Total Units,1,490
Fayette County,2021,Units in Single-Family Structures,2,490
Fayette County,2021,Units in All Multi-Family Structures,3,0
Fentress County,2021,Total Units,1,0
Fentress County,2021,Units in Single-Family Structures,2,0
Fentress County,2021,Units in All Multi-Family Structures,3,0
Franklin County,2021,Total Units,1,420
Franklin County,2021,Units in Single-Family Structures,2,410
Franklin County,2021,Units in All Multi-Family Structures,3,10
Gibson County,2021,Total Units,1,194
Gibson County,2021,Units in Single-Family Structures,2,194
Gibson County,2021,Units in All Multi-Family Structures,3,0
Giles County,2021,Total Units,1,178
Giles County,2021,Units in Single-Family Structures,2,172
Giles County,2021,Units in All Multi-Family Structures,3,6
Grainger County,2021,Total Units,1,82
Grainger County,2021,Units in Single-Family Structures,2,82
Grainger County,2021,Units in All Multi-Family Structures,3,0
Greene County,2021,Total Units,1,260
Greene County,2021,Units in Single-Family Structures,2,260
Greene County,2021,Units in All Multi-Family Structures,3,0
Grundy County,2021,Total Units,1,5
Grundy County,2021,Units in Single-Family Structures,2,5
Grundy County,2021,Units in All Multi-Family Structures,3,0
Location,Year,Series,Series Code,Permits
Hamblen County,2021,Total Units,1,581
Hamblen County,2021,Units in Single-Family Structures,2,509
Hamblen County,2021,Units in All Multi-Family Structures,3,72
Hamilton County,2021,Total Units,1,2804
Hamilton County,2021,Units in Single-Family Structures,2,1766
Hamilton County,2021,Units in All Multi-Family Structures,3,1038
Hancock County,2021,Total Units,1,0
Hancock County,2021,Units in Single-Family Structures,2,0
Hancock County,2021,Units in All Multi-Family Structures,3,0
Hardeman County,2021,Total Units,1,45
Hardeman County,2021,Units in Single-Family Structures,2,41
Hardeman County,2021,Units in All Multi-Family Structures,3,4
Hardin County,2021,Total Units,1,12
Hardin County,2021,Units in Single-Family Structures,2,12
Hardin County,2021,Units in All Multi-Family Structures,3,0
Hawkins County,2021,Total Units,1,172
Hawkins County,2021,Units in Single-Family Structures,2,172
Hawkins County,2021,Units in All Multi-Family Structures,3,0
Haywood County,2021,Total Units,1,25
Haywood County,2021,Units in Single-Family Structures,2,25
Haywood County,2021,Units in All Multi-Family Structures,3,0
Henderson County,2021,Total Units,1,20
Henderson County,2021,Units in Single-Family Structures,2,20
Henderson County,2021,Units in All Multi-Family Structures,3,0
Henry County,2021,Total Units,1,22
Henry County,2021,Units in Single-Family Structures,2,22
Henry County,2021,Units in All Multi-Family Structures,3,0
Hickman County,2021,Total Units,1,131
Hickman County,2021,Units in Single-Family Structures,2,129
Hickman County,2021,Units in All Multi-Family Structures,3,2
Houston County,2021,Total Units,1,1
Houston County,2021,Units in Single-Family Structures,2,1
Houston County,2021,Units in All Multi-Family Structures,3,0
Humphreys County,2021,Total Units,1,20
Humphreys County,2021,Units in Single-Family Structures,2,20
Humphreys County,2021,Units in All Multi-Family Structures,3,0
Jackson County,2021,Total Units,1,0
Jackson County,2021,Units in Single-Family Structures,2,0
Jackson County,2021,Units in All Multi-Family Structures,3,0
Jefferson County,2021,Total Units,1,330
Jefferson County,2021,Units in Single-Family Structures,2,318
Jefferson County,2021,Units in All Multi-Family Structures,3,12
Johnson County,2021,Total Units,1,1
Johnson County,2021,Units in Single-Family Structures,2,1
Johnson County,2021,Units in All Multi-Family Structures,3,0
Knox County,2021,Total Units,1,2831
Knox County,2021,Units in Single-Family Structures,2,2132
Knox County,2021,Units in All Multi-Family Structures,3,699
Lake County,2021,Total Units,1,5
Lake County,2021,Units in Single-Family Structures,2,5
Lake County,2021,Units in All Multi-Family Structures,3,0
Lauderdale County,2021,Total Units,1,32
Lauderdale County,2021,Units in Single-Family Structures,2,32
Lauderdale County,2021,Units in All Multi-Family Structures,3,0
Lawrence County,2021,Total Units,1,18
Lawrence County,2021,Units in Single-Family Structures,2,18
Lawrence County,2021,Units in All Multi-Family Structures,3,0
Lewis County,2021,Total Units,1,30
Lewis County,2021,Units in Single-Family Structures,2,30
Lewis County,2021,Units in All Multi-Family Structures,3,0
Lincoln County,2021,Total Units,1,167
Lincoln County,2021,Units in Single-Family Structures,2,156
Lincoln County,2021,Units in All Multi-Family Structures,3,11
Loudon County,2021,Total Units,1,1117
Loudon County,2021,Units in Single-Family Structures,2,842
Loudon County,2021,Units in All Multi-Family Structures,3,275
Macon County,2021,Total Units,1,110
Macon County,2021,Units in Single-Family Structures,2,35
Macon County,2021,Units in All Multi-Family Structures,3,75
Madison County,2021,Total Units,1,294
Madison County,2021,Units in Single-Family Structures,2,294
Madison County,2021,Units in All Multi-Family Structures,3,0
Marion County,2021,Total Units,1,243
Marion County,2021,Units in Single-Family Structures,2,243
Marion County,2021,Units in All Multi-Family Structures,3,0
Marshall County,2021,Total Units,1,236
Marshall County,2021,Units in Single-Family Structures,2,236
Marshall County,2021,Units in All Multi-Family Structures,3,0
Maury County,2021,Total Units,1,2397
Maury County,2021,Units in Single-Family Structures,2,1686
Maury County,2021,Units in All Multi-Family Structures,3,711
McMinn County,2021,Total Units,1,51
McMinn County,2021,Units in Single-Family Structures,2,43
McMinn County,2021,Units in All Multi-Family Structures,3,8
McNairy County,2021,Total Units,1,5
McNairy County,2021,Units in Single-Family Structures,2,5
McNairy County,2021,Units in All Multi-Family Structures,3,0
Meigs County,2021,Total Units,1,132
Meigs County,2021,Units in Single-Family Structures,2,132
Meigs County,2021,Units in All Multi-Family Structures,3,0
Location,Year,Series,Series Code,Permits
Monroe County,2021,Total Units,1,215
Monroe County,2021,Units in Single-Family Structures,2,215
Monroe County,2021,Units in All Multi-Family Structures,3,0
Montgomery County,2021,Total Units,1,4008
Montgomery County,2021,Units in Single-Family Structures,2,2119
Montgomery County,2021,Units in All Multi-Family Structures,3,1889
Moore County,2021,Total Units,1,30
Moore County,2021,Units in Single-Family Structures,2,30
Moore County,2021,Units in All Multi-Family Structures,3,0
Morgan County,2021,Total Units,1,0
Morgan County,2021,Units in Single-Family Structures,2,0
Morgan County,2021,Units in All Multi-Family Structures,3,0
Obion County,2021,Total Units,1,34
Obion County,2021,Units in Single-Family Structures,2,32
Obion County,2021,Units in All Multi-Family Structures,3,2
Overton County,2021,Total Units,1,8
Overton County,2021,Units in Single-Family Structures,2,8
Overton County,2021,Units in All Multi-Family Structures,3,0
Perry County,2021,Total Units,1,11
Perry County,2021,Units in Single-Family Structures,2,11
Perry County,2021,Units in All Multi-Family Structures,3,0
Polk County,2021,Total Units,1,247
Polk County,2021,Units in Single-Family Structures,2,247
Polk County,2021,Units in All Multi-Family Structures,3,0
Putnam County,2021,Total Units,1,584
