NAME,Year,Series,Permits
"Anderson County, Tennessee",2021,Total Units,458
"Anderson County, Tennessee",2021,Units in Single-Family Structures,261
"Anderson County, Tennessee",2021,Units in All Multi-Family Structures,197
"Bedford County, Tennessee",2021,Total Units,390
"Bedford County, Tennessee",2021,Units in Single-Family Structures,390
"Bedford County, Tennessee",2021,Units in All Multi-Family Structures,0
"Benton County, Tennessee",2021,Total Units,4
"Benton County, Tennessee",2021,Units in Single-Family Structures,4
"Benton County, Tennessee",2021,Units in All Multi-Family Structures,0
"Blount County, Tennessee",2021,Total Units,922
"Blount County, Tennessee",2021,Units in Single-Family Structures,788
"Blount County, Tennessee",2021,Units in All Multi-Family Structures,134
"Bradley County, Tennessee",2021,Total Units,543
"Bradley County, Tennessee",2021,Units in Single-Family Structures,518
"Bradley County, Tennessee",2021,Units in All Multi-Family Structures,25
"Campbell County, Tennessee",2021,Total Units,388
"Campbell County, Tennessee",2021,Units in Single-Family Structures,388
"Campbell County, Tennessee",2021,Units in All Multi-Family Structures,0
"Cannon County, Tennessee",2021,Total Units,28
"Cannon County, Tennessee",2021,Units in Single-Family Structures,28
"Cannon County, Tennessee",2021,Units in All Multi-Family Structures,0
"Carroll County, Tennessee",2021,Total Units,13
"Carroll County, Tennessee",2021,Units in Single-Family Structures,13
"Carroll County, Tennessee",2021,Units in All Multi-Family Structures,0
"Carter County, Tennessee",2021,Total Units,180
"Carter County, Tennessee",2021,Units in Single-Family Structures,180
"Carter County, Tennessee",2021,Units in All Multi-Family Structures,0
"Cheatham County, Tennessee",2021,Total Units,407
"Cheatham County, Tennessee",2021,Units in Single-Family Structures,260
"Cheatham County, Tennessee",2021,Units in All Multi-Family Structures,147
"Chester County, Tennessee",2021,Total Units,13
"Chester County, Tennessee",2021,Units in Single-Family Structures,13
"Chester County, Tennessee",2021,Units in All Multi-Family Structures,0
"Claiborne County, Tennessee",2021,Total Units,81
"Claiborne County, Tennessee",2021,Units in Single-Family Structures,77
"Claiborne County, Tennessee",2021,Units in All Multi-Family Structures,4
"Clay County, Tennessee",2021,Total Units,27
"Clay County, Tennessee",2021,Units in Single-Family Structures,27
"Clay County, Tennessee",2021,Units in All Multi-Family Structures,0
"Cocke County, Tennessee",2021,Total Units,0
"Cocke County, Tennessee",2021,Units in Single-Family Structures,0
"Cocke County, Tennessee",2021,Units in All Multi-Family Structures,0
"Coffee County, Tennessee",2021,Total Units,210
"Coffee County, Tennessee",2021,Units in Single-Family Structures,110
"Coffee County, Tennessee",2021,Units in All Multi-Family Structures,100
"Crockett County, Tennessee",2021,Total Units,36
"Crockett County, Tennessee",2021,Units in Single-Family Structures,36
"Crockett County, Tennessee",2021,Units in All Multi-Family Structures,0
"Cumberland County, Tennessee",2021,Total Units,477
"Cumberland County, Tennessee",2021,Units in Single-Family Structures,477
"Cumberland County, Tennessee",2021,Units in All Multi-Family Structures,0
"Davidson County, Tennessee",2021,Total Units,16310
"Davidson County, Tennessee",2021,Units in Single-Family Structures,4105
"Davidson County, Tennessee",2021,Units in All Multi-Family Structures,12205
"Decatur County, Tennessee",2021,Total Units,3
"Decatur County, Tennessee",2021,Units in Single-Family Structures,3
"Decatur County, Tennessee",2021,Units in All Multi-Family Structures,0
"DeKalb County, Tennessee",2021,Total Units,147
"DeKalb County, Tennessee",2021,Units in Single-Family Structures,147
"DeKalb County, Tennessee",2021,Units in All Multi-Family Structures,0
"Dickson County, Tennessee",2021,Total Units,617
"Dickson County, Tennessee",2021,Units in Single-Family Structures,473
"Dickson County, Tennessee",2021,Units in All Multi-Family Structures,144
"Dyer County, Tennessee",2021,Total Units,62
"Dyer County, Tennessee",2021,Units in Single-Family Structures,62
"Dyer County, Tennessee",2021,Units in All Multi-Family Structures,0
"Fayette County, Tennessee",2021,Total Units,490
"Fayette County, Tennessee",2021,Units in Single-Family Structures,490
"Fayette County, Tennessee",2021,Units in All Multi-Family Structures,0
"Fentress County, Tennessee",2021,Total Units,0
"Fentress County, Tennessee",2021,Units in Single-Family Structures,0
"Fentress County, Tennessee",2021,Units in All Multi-Family Structures,0
"Franklin County, Tennessee",2021,Total Units,420
"Franklin County, Tennessee",2021,Units in Single-Family Structures,410
"Franklin County, Tennessee",2021,Units in All Multi-Family Structures,10
"Gibson County, Tennessee",2021,Total Units,194
"Gibson County, Tennessee",2021,Units in Single-Family Structures,194
"Gibson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Giles County, Tennessee",2021,Total Units,178
"Giles County, Tennessee",2021,Units in Single-Family Structures,172
"Giles County, Tennessee",2021,Units in All Multi-Family Structures,6
"Grainger County, Tennessee",2021,Total Units,82
"Grainger County, Tennessee",2021,Units in Single-Family Structures,82
"Grainger County, Tennessee",2021,Units in All Multi-Family Structures,0
"Greene County, Tennessee",2021,Total Units,260
"Greene County, Tennessee",2021,Units in Single-Family Structures,260
"Greene County, Tennessee",2021,Units in All Multi-Family Structures,0
"Grundy County, Tennessee",2021,Total Units,5
"Grundy County, Tennessee",2021,Units in Single-Family Structures,5
"Grundy County, Tennessee",2021,Units in All Multi-Family Structures,0
"Hamblen County, Tennessee",2021,Total Units,581
"Hamblen County, Tennessee",2021,Units in Single-Family Structures,509
"Hamblen County, Tennessee",2021,Units in All Multi-Family Structures,72
"Hamilton County, Tennessee",2021,Total Units,2804
"Hamilton County, Tennessee",2021,Units in Single-Family Structures,1766
"Hamilton County, Tennessee",2021,Units in All Multi-Family Structures,1038
"Hancock County, Tennessee",2021,Total Units,0
"Hancock County, Tennessee",2021,Units in Single-Family Structures,0
"Hancock County, Tennessee",2021,Units in All Multi-Family Structures,0
"Hardeman County, Tennessee",2021,Total Units,45
"Hardeman County, Tennessee",2021,Units in Single-Family Structures,41
"Hardeman County, Tennessee",2021,Units in All Multi-Family Structures,4
"Hardin County, Tennessee",2021,Total Units,12
"Hardin County, Tennessee",2021,Units in Single-Family Structures,12
"Hardin County, Tennessee",2021,Units in All Multi-Family Structures,0
"Hawkins County, Tennessee",2021,Total Units,172
"Hawkins County, Tennessee",2021,Units in Single-Family Structures,172
"Hawkins County, Tennessee",2021,Units in All Multi-Family Structures,0
"Haywood County, Tennessee",2021,Total Units,25
"Haywood County, Tennessee",2021,Units in Single-Family Structures,25
"Haywood County, Tennessee",2021,Units in All Multi-Family Structures,0
"Henderson County, Tennessee",2021,Total Units,20
"Henderson County, Tennessee",2021,Units in Single-Family Structures,20
"Henderson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Henry County, Tennessee",2021,Total Units,22
"Henry County, Tennessee",2021,Units in Single-Family Structures,22
"Henry County, Tennessee",2021,Units in All Multi-Family Structures,0
"Hickman County, Tennessee",2021,Total Units,131
"Hickman County, Tennessee",2021,Units in Single-Family Structures,129
"Hickman County, Tennessee",2021,Units in All Multi-Family Structures,2
"Houston County, Tennessee",2021,Total Units,1
"Houston County, Tennessee",2021,Units in Single-Family Structures,1
"Houston County, Tennessee",2021,Units in All Multi-Family Structures,0
"Humphreys County, Tennessee",2021,Total Units,20
"Humphreys County, Tennessee",2021,Units in Single-Family Structures,20
"Humphreys County, Tennessee",2021,Units in All Multi-Family Structures,0
"Jackson County, Tennessee",2021,Total Units,0
"Jackson County, Tennessee",2021,Units in Single-Family Structures,0
"Jackson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Jefferson County, Tennessee",2021,Total Units,330
"Jefferson County, Tennessee",2021,Units in Single-Family Structures,318
"Jefferson County, Tennessee",2021,Units in All Multi-Family Structures,12
"Johnson County, Tennessee",2021,Total Units,1
"Johnson County, Tennessee",2021,Units in Single-Family Structures,1
"Johnson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Knox County, Tennessee",2021,Total Units,2831
"Knox County, Tennessee",2021,Units in Single-Family Structures,2132
"Knox County, Tennessee",2021,Units in All Multi-Family Structures,699
"Lake County, Tennessee",2021,Total Units,5
"Lake County, Tennessee",2021,Units in Single-Family Structures,5
"Lake County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lauderdale County, Tennessee",2021,Total Units,32
"Lauderdale County, Tennessee",2021,Units in Single-Family Structures,32
"Lauderdale County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lawrence County, Tennessee",2021,Total Units,18
"Lawrence County, Tennessee",2021,Units in Single-Family Structures,18
"Lawrence County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lewis County, Tennessee",2021,Total Units,30
"Lewis County, Tennessee",2021,Units in Single-Family Structures,30
"Lewis County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lincoln County, Tennessee",2021,Total Units,167
"Lincoln County, Tennessee",2021,Units in Single-Family Structures,156
"Lincoln County, Tennessee",2021,Units in All Multi-Family Structures,11
"Loudon County, Tennessee",2021,Total Units,1117
"Loudon County, Tennessee",2021,Units in Single-Family Structures,842
"Loudon County, Tennessee",2021,Units in All Multi-Family Structures,275
"Macon County, Tennessee",2021,Total Units,110
"Macon County, Tennessee",2021,Units in Single-Family Structures,35
"Macon County, Tennessee",2021,Units in All Multi-Family Structures,75
"Madison County, Tennessee",2021,Total Units,294
"Madison County, Tennessee",2021,Units in Single-Family Structures,294
"Madison County, Tennessee",2021,Units in All Multi-Family Structures,0
"Marion County, Tennessee",2021,Total Units,243
"Marion County, Tennessee",2021,Units in Single-Family Structures,243
"Marion County, Tennessee",2021,Units in All Multi-Family Structures,0
"Marshall County, Tennessee",2021,Total Units,236
"Marshall County, Tennessee",2021,Units in Single-Family Structures,236
"Marshall County, Tennessee",2021,Units in All Multi-Family Structures,0
"Maury County, Tennessee",2021,Total Units,2397
"Maury County, Tennessee",2021,Units in Single-Family Structures,1686
"Maury County, Tennessee",2021,Units in All Multi-Family Structures,711
"McMinn County, Tennessee",2021,Total Units,51
"McMinn County, Tennessee",2021,Units in Single-Family Structures,43
"McMinn County, Tennessee",2021,Units in All Multi-Family Structures,8
"McNairy County, Tennessee",2021,Total Units,5
"McNairy County, Tennessee",2021,Units in Single-Family Structures,5
