NAME,GEO_ID,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
"Adams city, Tennessee",1600000US4700200,0,0,0,0,0,0,0,0,0,0,0,542,672,0,0,0,0,458,600,587,566,633,624
"Ashland City town, Tennessee",1600000US4702180,0,0,0,0,0,0,0,0,0,0,0,641,649,712,957,1024,1400,2027,2329,2552,3641,4541,5193
"Belle Meade city, Tennessee",1600000US4704620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061,2831,3082,0,3182,2839,2943,2912,2901
"Berry Hill city, Tennessee",1600000US4705140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,1551,0,1113,802,674,537,2112
"Brentwood city, Tennessee",1600000US4708280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9431,16392,23445,37060,45373
"Burns town, Tennessee",1600000US4709880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,257,777,1127,1366,1468,1573
"Cedar Hill city, Tennessee",1600000US4711980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,420,347,298,314,301
"Charlotte town, Tennessee",1600000US4713080,0,0,0,0,0,0,0,0,0,0,0,236,200,291,470,478,551,610,788,854,1153,1235,1656
"Cheatham County, Tennessee",0500000US47021,0,0,0,0,0,0,7258,6678,7956,8845,10112,10540,10039,9025,9928,9167,9428,13199,21616,27140,35912,39105,41072
"Clarksville city, Tennessee",1600000US4715160,0,0,0,0,0,0,0,0,0,0,9431,8548,8110,9242,11831,16246,22021,31719,54777,75494,103455,132929,166722
"Columbia city, Tennessee",1600000US4716540,0,0,0,0,0,0,0,0,0,0,6052,5754,5526,7882,10579,10911,17624,21471,26372,28583,33055,34681,41690
"Coopertown town, Tennessee",1600000US4716980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,4278,4480
"Cross Plains city, Tennessee",1600000US4718420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,1025,1381,1714,1789
"Cumberland City town, Tennessee",1600000US4718820,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,314,416,276,319,316,311,305
"Davidson County, Tennessee",0500000US47037,9965,15608,20154,28122,30509,38882,47055,62897,79026,108174,122815,149478,167815,222854,257267,321758,399743,448003,477811,510784,569891,626681,715884
"Dickson city, Tennessee",1600000US4720620,0,0,0,0,0,0,0,0,0,0,1363,1850,2263,2902,3504,3348,5028,5665,7040,8791,12244,14538,16058
"Dickson County, Tennessee",0500000US47043,0,4516,5190,7265,7074,8404,9982,9340,12460,13645,18635,19955,19342,18491,19718,18805,18839,21977,30037,35061,43156,49666,54315
"Dover city, Tennessee",1600000US4721400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,1179,1197,1341,1442,1417,1826
"Eagleville city, Tennessee",1600000US4722360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,363,437,444,462,464,604,813
"Erin city, Tennessee",1600000US4724320,0,0,0,0,0,0,0,0,0,0,0,943,855,819,905,858,1097,1157,1614,1586,1490,1324,1224
"Fairview city, Tennessee",1600000US4725440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,1630,3648,4210,5800,7720,9357
"Forest Hills city, Tennessee",1600000US4727020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,4516,4231,4710,4812,5038
"Franklin city, Tennessee",1600000US4727740,0,0,0,0,0,0,0,0,0,0,2180,2924,3123,3377,4120,5475,6977,9404,12407,20098,41842,62487,83454
"Gallatin city, Tennessee",1600000US4728540,0,0,0,0,0,0,0,0,0,0,2409,2399,2757,3050,4829,5107,7901,13093,17191,18794,23230,30278,44431
"Goodlettsville city, Tennessee",1600000US4729920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,3163,0,8327,11219,13780,15921,17789
"Greenbrier town, Tennessee",1600000US4730960,0,0,0,0,0,0,0,0,0,0,0,522,518,631,795,890,1238,2279,3180,2873,4940,6433,6898
"Hartsville/Trousdale County, Tennessee",,0,0,0,0,0,0,0,0,0,0,0,0,1023,1015,1095,1130,1712,2243,2674,2188,2395,7870,11615
"Hendersonville city, Tennessee",1600000US4733280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,26561,32188,40620,51372,61753
"HISTORIC NASHVILLE, Tennessee",,0,0,0,0,0,0,0,0,0,0,80865,110364,118342,153866,167402,174307,170874,0,0,0,0,0,0
"Houston County, Tennessee",0500000US47083,0,0,0,0,0,0,0,0,4295,5390,6476,6224,6212,5555,6432,5318,4794,5845,6871,7018,8088,8426,8283
"Humphreys County, Tennessee",0500000US47085,0,1511,4067,6187,5195,6422,9096,9326,11379,11720,13398,13908,13482,12039,12421,11030,11511,13560,15957,15795,17929,18538,18990
"Kingston Springs town, Tennessee",1600000US4739660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,1017,1529,2773,2756,2824
"La Vergne city, Tennessee",1600000US4741200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5495,7499,18687,32588,38719
"Lebanon city, Tennessee",1600000US4741520,0,0,0,0,0,0,0,0,0,0,1956,3569,4084,4656,5950,7913,10512,12492,11872,15208,20235,26190,38431
"Maury County, Tennessee",0500000US47119,0,10359,22141,27665,28186,29520,32498,36289,39904,38112,42703,40456,35403,34016,40357,40368,41699,43376,51095,54812,69498,80956,100974
"McEwen city, Tennessee",1600000US4744840,0,0,0,0,0,0,0,0,0,0,0,661,635,620,617,710,979,0,1352,1442,1702,1750,1643
"Millersville city, Tennessee",1600000US4748980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,5308,6440,6299
"Mitchellville city, Tennessee",1600000US4749460,0,0,0,0,0,0,0,0,0,0,0,0,161,203,216,202,184,177,209,193,207,189,163
"Montgomery County, Tennessee",0500000US47125,2899,8021,12219,14349,16927,21045,20895,24747,28481,29697,36017,33672,32265,30882,33346,44186,55645,62721,83342,100498,134768,172331,220069
"Mount Juliet city, Tennessee",1600000US4750780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879,5389,12366,23671,39289
"Mount Pleasant city, Tennessee",1600000US4751080,0,0,0,0,0,0,0,0,0,0,2007,1973,2093,2010,3089,2931,2921,3530,3375,4278,4491,4561,4784
"Murfreesboro city, Tennessee",1600000US4751560,0,0,0,0,0,0,0,0,0,0,3999,4679,5367,7993,9495,13052,18991,26360,32845,44922,68816,108755,152769
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,0,0,0,0,0,0,0,0,0,0,80865,110364,118342,153866,167402,174307,170874,448003,455651,488374,545524,601222,689447
"New Johnsonville city, Tennessee",1600000US4752820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,970,1824,1643,1905,1951,1804
"Nolensville town, Tennessee",1600000US4753460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,3099,5861,13829
"Oak Hill city, Tennessee",1600000US4754780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4490,0,4609,4301,4493,4529,4891
"Pegram town, Tennessee",1600000US4757480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,1371,2146,2093,2072
"Pleasant View city, Tennessee",1600000US4759560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934,4149,4807
"Portland city, Tennessee",1600000US4760280,0,0,0,0,0,0,0,0,0,0,0,579,869,1030,1212,1660,2424,2872,4030,5165,8458,11480,13156
"Ridgetop city, Tennessee",1600000US4763140,0,0,0,0,0,0,0,0,0,0,0,48,126,196,351,354,372,810,1225,1132,1083,1874,2155
"Robertson County, Tennessee",0500000US47147,4280,7270,9938,13272,13801,16145,15265,16166,18861,20078,25029,25466,25621,28191,29046,27024,27335,29102,37021,41494,54433,66283,72803
"Rutherford County, Tennessee",0500000US47149,0,10265,19552,26134,24280,29122,27918,33289,36741,35097,33543,33199,33059,32286,33604,40696,52368,59428,84058,118570,182023,262604,341486
