NAME,Description,Employment
Montgomery County,TOTAL EMPLOYMENT 2010,63874
Montgomery County,TOTAL EMPLOYMENT,81903
Montgomery County,FARM EMPLOYMENT,879
Montgomery County,"FORESTRY, FISHING, RELATED ACTIVITIES and OTHER EMPLOYMENT",185
Montgomery County,MINING EMPLOYMENT,331
Montgomery County,UTILITIES EMPLOYMENT,143
Montgomery County,CONSTRUCTION EMPLOYMENT,4826
Montgomery County,MANUFACTURING EMPLOYMENT,5940
Montgomery County,WHOLESALE TRADE EMPLOYMENT,2060
Montgomery County,RETAIL TRADE EMPLOYMENT,11088
Montgomery County,TRANSPORTATION and WAREHOUSING EMPLOYMENT,2691
Montgomery County,INFORMATION EMPLOYMENT,1037
Montgomery County,FINANCE and INSURANCE EMPLOYMENT,2342
Montgomery County,REAL ESTATE and RENTAL and LEASE EMPLOYMENT,4024
Montgomery County,PROFESSIONAL and TECHNICAL SERVICES EMPLOYMENT,2860
Montgomery County,MANAGEMENT of COMPANIES and ENTERPRISES EMPLOYMENT,438
Montgomery County,ADMINISTRATIVE and WASTE SERVICES EMPLOYMENT,5229
Montgomery County,EDUCATIONAL SERVICES EMPLOYMENT,1443
Montgomery County,HEALTH CARE and SOCIAL ASSISTANCE EMPLOYMENT,8597
Montgomery County,"ARTS, ENTERTAINMENT, and RECREATION EMPLOYMENT",1213
Montgomery County,ACCOMMODATION and FOOD SERVICES EMPLOYMENT,8242
Montgomery County,"OTHER SERVICES, EXCEPT PUBLIC ADMINISTRATION EMPLOYMENT",5670
Montgomery County,FEDERAL CIVILIAN GOVERNMENT EMPLOYMENT,1694
Montgomery County,FEDERAL MILITARY EMPLOYMENT,633
Montgomery County,STATE and LOCAL GOVERNMENT EMPLOYMENT,10338
Stewart County,TOTAL EMPLOYMENT 2010,4721
Stewart County,TOTAL EMPLOYMENT,4664
Stewart County,FARM EMPLOYMENT,354
Stewart County,"FORESTRY, FISHING, RELATED ACTIVITIES and OTHER EMPLOYMENT",107
Stewart County,MINING EMPLOYMENT,1
Stewart County,UTILITIES EMPLOYMENT,8
Stewart County,CONSTRUCTION EMPLOYMENT,443
