NAME,GEO_ID
"Cheatham County, Tennessee",0500000US47021
"Davidson County, Tennessee",0500000US47037
"Dickson County, Tennessee",0500000US47043
"Houston County, Tennessee",0500000US47083
"Humphreys County, Tennessee",0500000US47085
"Macon County, Tennessee",0500000US47111
"Maury County, Tennessee",0500000US47119
"Montgomery County, Tennessee",0500000US47125
"Robertson County, Tennessee",0500000US47147
"Rutherford County, Tennessee",0500000US47149
"Stewart County, Tennessee",0500000US47161
"Sumner County, Tennessee",0500000US47165
"Trousdale County, Tennessee",0500000US47169
"Williamson County, Tennessee",0500000US47187
"Wilson County, Tennessee",0500000US47189
"Allen County, Kentucky",0500000US21003
"Simpson County, Kentucky",0500000US21213
"Adams city, Tennessee",1600000US4700200
"Ashland City town, Tennessee",1600000US4702180
"Belle Meade city, Tennessee",1600000US4704620
"Berry Hill city, Tennessee",1600000US4705140
"Brentwood city, Tennessee",1600000US4708280
"Burns town, Tennessee",1600000US4709880
"Cedar Hill city, Tennessee",1600000US4711980
"Charlotte town, Tennessee",1600000US4713080
"Clarksville city, Tennessee",1600000US4715160
"Columbia city, Tennessee",1600000US4716540
"Coopertown town, Tennessee",1600000US4716980
"Cross Plains city, Tennessee",1600000US4718420
"Cumberland City town, Tennessee",1600000US4718820
"Dickson city, Tennessee",1600000US4720620
"Dover city, Tennessee",1600000US4721400
"Eagleville city, Tennessee",1600000US4722360
"Erin city, Tennessee",1600000US4724320
"Fairview city, Tennessee",1600000US4725440
"Forest Hills city, Tennessee",1600000US4727020
"Franklin city, Tennessee",1600000US4727740
"Gallatin city, Tennessee",1600000US4728540
"Goodlettsville city, Tennessee",1600000US4729920
"Greenbrier town, Tennessee",1600000US4730960
"Hendersonville city, Tennessee",1600000US4733280
"Kingston Springs town, Tennessee",1600000US4739660
"Lafayette city, Tennessee",1600000US4740160
"La Vergne city, Tennessee",1600000US4741200
"Lebanon city, Tennessee",1600000US4741520
"McEwen city, Tennessee",1600000US4744840
"Millersville city, Tennessee",1600000US4748980
"Mitchellville city, Tennessee",1600000US4749460
"Mount Juliet city, Tennessee",1600000US4750780
"Mount Pleasant city, Tennessee",1600000US4751080
"Murfreesboro city, Tennessee",1600000US4751560
"Nashville-Davidson (balance), Tennessee",1600000US4752006
"New Johnsonville city, Tennessee",1600000US4752820
"Nolensville town, Tennessee",1600000US4753460
"Oak Hill city, Tennessee",1600000US4754780
"Pegram town, Tennessee",1600000US4757480
"Pleasant View city, Tennessee",1600000US4759560
"Portland city, Tennessee",1600000US4760280
"Ridgetop city, Tennessee",1600000US4763140
"Slayden town, Tennessee",1600000US4769080
"Smyrna town, Tennessee",1600000US4769420
"Springfield city, Tennessee",1600000US4770500
"Spring Hill city, Tennessee",1600000US4770580
"Tennessee Ridge town, Tennessee",1600000US4773460
"Thompson's Station town, Tennessee",1600000US4773900
"Vanleer town, Tennessee",1600000US4776860
"Watertown city, Tennessee",1600000US4778320
"Waverly city, Tennessee",1600000US4778560
"Westmoreland town, Tennessee",1600000US4779420
"White Bluff town, Tennessee",1600000US4779980
"White House city, Tennessee",1600000US4780200
"Franklin city, Kentucky",1600000US2128918
"Scottsville city, Kentucky",1600000US2169114
Tennessee,0400000US47
United States,0100000US
GNRC,
GNRC Region,
MPO,
Rutherford Incorporated,None
Rutherford Unincorporated,None
Wilson Incorporated,None
Wilson Unincorporated,None
Cheatham Incorporated,None
Cheatham Unincorporated,None
Dickson Incorporated,None
Dickson Unincorporated,None
Humphreys Incorporated,None
Humphreys Unincorporated,None
Montgomery Incorporated,None
Montgomery Unincorporated,None
