blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""471079708004""","""Athens, TN""",1.00,1597.00,579.00,13658.17,57,70,42,25,31,17,32,39,25,9.58,0.41,1.89,2,2,21967,21150,23472,0,0,0,14065,13458,15747,10753,10268,12210,3306,3183,3531,7,7,7,8,8,8,2.0,1.0,0.67,0.04,2612,74,2765,86,105,10,2863,901,911,879,69,31
"""471079703003""","""Athens, TN""",1.00,1190.00,402.00,618.89,58,71,42,29,36,20,29,34,22,6.76,4.39,1.72,2,2,17090,16297,18440,0,0,0,12348,11825,13819,9768,9364,11037,2572,2452,2774,8,9,8,10,11,10,4.3,2.4,3.18,0.65,4531,79,7670,84,8,176,723,1052,1280,651,68,32
"""471079708003""","""Athens, TN""",1.00,1814.00,767.00,20622.92,61,74,45,26,33,18,35,42,27,10.27,0.38,2.00,2,2,24366,23611,25794,0,0,0,15029,14442,16725,11356,10882,12837,3667,3553,3880,7,7,7,9,8,9,1.2,1.2,0.18,0.04,2700,81,2116,86,160,8,3061,945,1137,445,78,22
"""471079705003""","""Athens, TN""",1.00,921.00,352.00,1210.05,53,65,39,21,26,15,32,38,25,8.80,2.56,1.90,2,2,20520,19631,22054,0,0,0,13861,13311,15442,10767,10350,12118,3088,2954,3318,6,6,6,8,8,8,2.9,1.1,0.83,0.29,2968,78,2286,86,24,50,1386,763,831,610,73,27
"""471079702001""","""Athens, TN""",1.00,1504.00,596.00,2383.11,48,59,36,23,29,16,25,30,20,6.17,1.54,1.48,1,2,15932,15168,17307,0,0,0,10828,10261,12269,8423,7971,9659,2397,2282,2604,7,8,7,9,10,9,6.6,1.9,1.61,0.25,3439,23,4182,85,43,35,1467,845,1098,706,41,59
"""471079701011""","""Athens, TN""",1.00,2405.00,941.00,26319.21,62,76,45,26,33,18,35,43,27,10.75,0.38,2.05,2,2,24862,24112,26247,0,0,0,15362,14859,16924,11614,11224,12968,3741,3628,3948,7,7,8,8,8,9,2.0,1.2,0.11,0.04,2699,57,1948,86,138,10,2785,947,933,1008,84,16
"""471079702003""","""Athens, TN""",1.00,1333.00,605.00,445.05,48,59,36,23,29,16,25,29,19,4.61,6.27,1.53,1,2,13588,12928,14776,0,0,0,10725,10160,12203,8671,8205,9972,2045,1945,2223,9,10,8,11,12,10,4.6,2.7,1.70,1.36,4558,81,6948,84,9,188,746,844,810,880,56,44
"""471079701013""","""Athens, TN""",1.00,1666.00,522.00,14926.81,63,77,46,26,33,18,37,44,28,11.40,0.40,2.13,2,2,25130,24432,26467,0,0,0,15891,15347,17567,12102,11664,13578,3782,3677,3981,7,6,7,8,8,9,1.0,0.9,0.08,0.03,2391,76,4217,86,149,10,2860,939,1028,,93,7
"""471079706001""","""Athens, TN""",1.00,1285.00,580.00,10133.57,54,65,40,22,28,15,31,37,24,7.62,0.44,1.84,2,2,20456,19837,21699,0,0,0,13532,12918,15217,10445,9924,11944,3078,2985,3264,8,8,8,11,11,11,1.6,2.3,0.56,0.06,2587,78,3570,85,95,17,1826,809,917,459,78,22
"""471079704012""","""Athens, TN""",1.00,2724.00,1037.00,6551.60,65,80,48,31,39,22,34,41,26,9.54,1.51,1.98,2,2,22723,22070,23973,0,0,0,14667,14107,16311,11239,10778,12695,3419,3321,3606,9,8,9,11,11,12,1.5,2.1,0.37,0.16,3465,81,2857,85,83,24,2262,1136,1197,768,87,13
