county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""47001""","""Anderson""","""Knoxville, TN""",53.00,76061.00,30541.00,215809.79,49,59,43,23,28,20,26,31,24,7.96,4.26,1.89,2,2,20355,19802,21142,0,0,1,14396,13349,14902,11324,10359,11711,3062,2980,3180,10,10,10,12,13,13,2.5,2.5,0.49,0.14,5324,69,6960,84,57,21,2704,1034,1148,692,72,28
"""47003""","""Bedford""","""Shelbyville, TN""",25.00,48292.00,17029.00,303126.80,56,67,45,24,30,19,32,37,26,9.96,2.74,2.06,2,2,24108,23276,24285,0,0,0,15978,14815,16255,12344,11305,12595,3627,3503,3653,8,8,7,9,9,9,1.1,1.4,0.27,0.06,3366,71,3901,86,111,9,3247,1015,1093,735,72,28
"""47005""","""Benton""","""""",13.00,16140.00,6762.00,252355.58,65,79,42,28,35,17,37,44,26,9.12,0.81,1.87,2,2,21844,21085,24099,0,0,0,13918,13305,16165,10625,10126,12533,3287,3173,3625,6,6,7,7,7,8,1.3,1.0,0.15,0.03,1815,67,1744,86,143,7,3828,871,943,630,82,18
"""47007""","""Bledsoe""","""""",8.00,14836.00,4894.00,260113.80,61,75,45,26,33,19,35,42,26,10.57,0.33,2.03,2,2,25344,24462,25852,0,0,0,15319,14685,16622,11498,10998,12727,3814,3681,3889,7,7,7,9,8,8,1.2,0.9,0.12,0.02,2124,65,1796,86,239,6,3955,974,1151,498,78,22
"""47009""","""Blount""","""Knoxville, TN""",78.00,129927.00,50557.00,357644.04,53,63,47,25,32,22,27,32,25,8.83,4.56,1.96,2,2,21337,20801,22103,1,1,1,14936,13890,15430,11715,10748,12093,3210,3130,3325,11,11,12,14,14,15,2.0,2.9,0.43,0.14,6091,74,7745,84,60,20,3939,1153,1265,686,78,22
"""47011""","""Bradley""","""Cleveland, TN""",55.00,105749.00,40192.00,210407.23,54,65,44,25,32,20,29,34,24,8.74,4.81,1.90,2,2,20858,20334,21615,1,1,1,14488,13429,15095,11347,10366,11840,3138,3060,3252,3,3,3,30,31,30,2.0,2.7,0.62,0.19,6039,70,7727,84,65,23,2729,1059,1176,721,69,31
"""47013""","""Campbell""","""Knoxville, TN""",32.00,39797.00,16192.00,307320.86,46,55,41,19,24,16,27,31,24,8.36,2.19,1.93,2,2,21301,20715,22180,0,0,0,14734,13640,15278,11522,10516,11934,3204,3117,3337,7,7,8,9,9,10,1.2,1.7,0.42,0.05,3059,68,2419,85,88,11,3497,860,1045,537,74,26
"""47015""","""Cannon""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",10.00,14178.00,5488.00,170006.37,43,52,45,17,21,18,26,31,27,10.74,0.70,2.17,2,2,26356,25808,26334,0,0,0,16946,16469,16877,12974,12580,12909,3965,3882,3962,7,7,7,9,8,9,1.0,1.2,0.18,0.03,2430,77,2185,86,216,6,3582,943,1017,681,77,23
"""47017""","""Carroll""","""""",23.00,27886.00,10962.00,382500.25,58,70,42,24,29,16,34,41,26,9.63,1.30,1.95,2,2,23091,22314,24705,0,0,0,14546,13962,16294,11065,10599,12572,3475,3358,3716,6,6,6,7,7,8,1.3,1.0,0.17,0.03,1856,74,1740,86,157,6,3567,836,929,581,78,22
"""47019""","""Carter""","""Johnson City, TN""",38.00,56433.00,23784.00,218403.83,52,64,40,22,28,16,30,36,24,8.19,3.11,1.81,2,2,19918,19385,21610,0,0,1,13296,12786,15060,10289,9859,11799,2997,2917,3251,10,10,11,12,12,13,1.6,2.4,0.39,0.11,4633,70,4360,84,80,19,2690,827,939,546,75,25
"""47021""","""Cheatham""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",21.00,40181.00,15089.00,193604.01,47,58,50,22,28,23,25,30,26,10.49,1.25,2.13,2,2,25199,24746,25186,0,0,0,16511,16086,16451,12717,12359,12658,3791,3723,3789,4,4,4,2,2,2,1.1,2.5,0.33,0.08,3587,78,4020,84,159,10,3773,1229,1324,847,79,21
"""47023""","""Chester""","""Jackson, TN""",9.00,17190.00,6060.00,182870.91,57,70,45,25,31,18,32,39,26,10.45,1.04,2.03,2,2,24457,23758,25606,0,0,0,15186,14643,16630,11499,11062,12771,3680,3575,3852,6,6,7,8,8,8,0.7,1.2,0.13,0.03,2055,74,2040,86,170,6,3665,962,1063,521,80,20
"""47025""","""Claiborne""","""""",22.00,31732.00,13281.00,278143.66,64,78,41,27,34,16,36,44,25,8.80,1.14,1.81,2,2,21116,20388,23587,0,0,0,13437,12850,15758,10253,9776,12202,3178,3068,3548,7,7,7,8,8,9,1.4,1.4,0.24,0.05,2518,67,2247,86,154,12,3729,842,930,606,75,25
"""47027""","""Clay""","""""",7.00,7654.00,3039.00,151383.16,73,89,42,30,37,15,44,52,26,9.76,0.54,1.86,2,2,23027,22153,25375,0,0,0,14020,13369,16563,10549,10030,12739,3465,3334,3817,6,6,7,8,7,9,0.9,1.0,0.12,0.02,1808,64,1641,86,241,7,4884,799,963,105,83,17
"""47029""","""Cocke""","""Newport, TN""",27.00,35552.00,14060.00,279125.98,64,78,41,27,34,16,37,44,25,8.40,1.25,1.83,2,2,21081,20205,23004,0,0,0,13539,12945,15539,10360,9898,12071,3172,3040,3460,7,7,7,9,9,9,2.2,1.5,0.24,0.05,2701,65,2429,86,95,13,3119,830,951,533,73,27
"""47031""","""Coffee""","""Tullahoma-Manchester, TN""",34.00,55209.00,21646.00,274536.22,52,62,43,23,28,19,29,34,25,9.09,3.70,1.95,2,2,21784,21106,22702,0,0,0,14966,13873,15564,11682,10690,12141,3277,3176,3415,7,7,8,9,9,9,1.8,1.8,0.41,0.08,3583,75,4402,85,83,13,3212,969,1049,628,71,29
"""47033""","""Crockett""","""Jackson, TN""",12.00,14399.00,5491.00,169937.78,56,68,44,23,29,17,33,40,27,10.43,0.67,2.06,2,2,24905,24118,26162,0,0,0,15458,14897,16939,11705,11263,12998,3748,3629,3936,5,5,6,7,7,7,0.9,0.8,0.36,0.03,1789,81,1779,87,165,7,3316,897,967,698,76,24
"""47035""","""Cumberland""","""Crossville, TN""",32.00,59216.00,25801.00,436052.77,54,66,43,24,30,18,30,36,25,8.54,1.57,1.89,2,2,20896,20325,22763,0,0,0,13868,13322,15696,10716,10256,12263,3145,3059,3424,7,8,8,9,9,10,1.2,1.5,0.22,0.06,2988,72,2860,86,111,14,3354,922,963,714,80,20
"""47037""","""Davidson""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",473.00,687488.00,282366.00,322388.70,44,55,47,25,31,26,20,24,21,6.70,14.54,1.76,2,2,16992,16791,17006,3,3,3,13136,12735,13073,10557,10185,10491,2556,2526,2558,23,24,23,43,45,44,3.5,6.0,2.18,0.88,16967,53,37408,79,38,55,2611,1359,1439,1070,59,41
"""47039""","""Decatur""","""""",10.00,11686.00,4440.00,213681.53,63,77,45,28,34,18,36,43,27,9.99,0.39,2.01,2,2,24075,23283,25312,0,0,0,15026,14404,16711,11397,10894,12897,3623,3504,3808,6,6,6,8,7,8,0.8,1.0,0.15,0.02,1543,74,1566,86,142,8,3579,965,1075,418,87,13
"""47041""","""DeKalb""","""""",13.00,19847.00,7704.00,194825.23,57,69,43,23,29,17,33,40,26,10.22,0.76,2.01,2,2,24337,23562,25537,0,0,0,15060,14489,16556,11392,10937,12708,3662,3546,3842,6,6,7,8,8,8,1.1,1.0,0.24,0.04,2327,75,2382,86,191,8,4795,891,989,648,73,27
"""47043""","""Dickson""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",30.00,52680.00,19198.00,313534.39,44,54,47,20,25,21,25,30,26,9.65,1.63,2.11,2,2,24343,23808,24313,0,0,0,16270,15818,16204,12603,12231,12541,3662,3581,3657,6,6,6,3,3,3,1.3,1.9,0.27,0.06,3021,75,3640,85,112,11,2960,1091,1183,750,77,23
"""47045""","""Dyer""","""Dyersburg, TN""",26.00,37416.00,15120.00,327904.37,55,68,41,24,30,17,32,38,25,8.99,3.71,1.89,2,2,21666,20869,23215,0,0,0,14017,13481,15605,10750,10334,12105,3260,3140,3492,7,7,7,8,8,8,0.9,1.5,0.43,0.05,3041,76,3657,86,117,7,4161,872,917,711,66,34
"""47047""","""Fayette""","""Memphis, TN-MS-AR""",33.00,40164.00,15596.00,451055.49,60,73,52,29,36,25,31,36,27,10.46,1.28,2.13,2,2,25613,24936,25971,0,0,0,16606,15418,16953,12745,11659,13038,3853,3752,3907,7,7,7,9,9,9,0.9,1.2,0.22,0.03,2745,82,2439,86,171,7,3622,1293,1401,718,82,18
"""47049""","""Fentress""","""""",12.00,18213.00,7443.00,319115.53,63,77,40,23,29,13,40,48,27,10.35,0.40,1.93,2,2,24873,24101,27022,0,0,0,14705,14085,16969,10956,10452,12897,3743,3627,4065,6,6,7,8,7,9,0.5,1.0,0.14,0.02,2024,73,1792,86,342,5,4986,703,747,462,79,21
"""47051""","""Franklin""","""Tullahoma-Manchester, TN""",27.00,41725.00,16326.00,354876.23,54,65,45,24,30,20,30,35,26,9.49,1.58,2.02,2,2,22967,22288,23923,0,0,0,15544,14406,16177,12082,11045,12571,3455,3354,3599,7,7,7,8,8,9,1.1,1.3,0.31,0.05,2684,80,2666,86,99,10,3307,1030,1134,634,78,22
"""47053""","""Gibson""","""Jackson, TN""",40.00,49228.00,19320.00,385756.28,55,67,43,24,30,18,31,37,25,8.88,1.89,1.95,2,2,22292,21540,23466,0,0,0,14401,13857,15813,11040,10609,12277,3354,3241,3530,6,6,6,8,8,8,1.4,1.4,0.37,0.05,2442,76,2218,86,98,8,3345,945,1083,565,73,27
"""47055""","""Giles""","""""",19.00,29285.00,11904.00,390995.00,54,64,44,23,29,18,31,36,26,9.50,1.25,1.97,2,2,22922,22271,24274,0,0,0,15246,14123,16083,11791,10766,12425,3448,3351,3652,6,6,7,8,8,8,1.3,1.2,0.32,0.03,2294,72,2432,86,133,9,2804,945,1022,645,73,27
"""47057""","""Grainger""","""Morristown, TN""",16.00,23101.00,8959.00,179575.10,57,69,44,24,30,18,33,39,26,9.88,0.74,2.02,2,2,23806,23062,24802,0,0,0,15056,14476,16491,11466,10999,12752,3582,3470,3731,7,7,8,9,9,9,1.6,1.0,0.20,0.05,2664,66,2254,86,129,11,3327,918,1031,418,83,17
"""47059""","""Greene""","""Greeneville, TN""",48.00,68834.00,27396.00,398187.42,57,70,42,25,31,17,33,39,25,8.95,1.84,1.89,2,2,21419,20710,22935,0,0,0,13972,13421,15670,10741,10297,12211,3223,3117,3450,8,8,8,10,9,10,1.6,1.8,0.20,0.07,3204,69,3702,85,92,11,2914,872,952,514,78,22
"""47061""","""Grundy""","""""",11.00,13344.00,4820.00,230683.84,60,73,41,23,29,15,37,45,27,10.28,0.32,2.01,2,2,24688,23808,25614,0,0,0,15118,14474,16720,11396,10885,12860,3715,3583,3853,7,7,7,9,8,9,1.1,1.0,0.18,0.02,1978,67,1748,86,188,6,3506,772,862,437,84,16
"""47063""","""Hamblen""","""Morristown, TN""",42.00,64132.00,24456.00,103160.73,53,65,41,23,29,17,30,36,24,8.02,4.53,1.86,2,2,20136,19398,21095,0,0,0,13622,13099,14927,10582,10170,11744,3030,2919,3173,10,10,10,12,12,12,2.4,2.5,0.58,0.24,5167,73,6619,84,43,30,2338,898,958,622,70,30
"""47065""","""Hamilton""","""Chattanooga, TN-GA""",247.00,360919.00,145213.00,347166.59,52,63,45,27,33,22,26,30,23,7.79,8.10,1.81,2,2,18902,18498,19512,1,1,1,13695,12692,14191,10837,9893,11241,2844,2784,2935,14,15,14,17,17,17,2.5,4.4,1.19,0.42,9876,69,14824,82,41,41,2654,1178,1289,733,68,32
