mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""01196401""","""Mobile Area Transportation Study""","""Mobile, AL""",201.12,256246.07,100528.92,276840.72,53,63,41,26,32,19,27,31,21,7.19,9.56,1.73,2,2,17967,17549,18414,1,1,1,12874,11837,13481,10364,9383,10911,2482,2425,2544,28,29,26,34,37,32,2.7,4.3,1.53,0.36,10625,72,14052,82,22,75,1780,1015,1124,835,65,35
"""01196402""","""Gadsden-Etowah MPO""","""Anniston-Oxford, AL,Birmingham-Hoover, AL,Gadsden, AL""",59.45,64623.30,24845.10,160591.09,53,65,40,24,30,17,30,36,23,8.03,4.75,1.84,2,2,20181,19619,20908,1,1,1,13223,12694,14535,10430,9978,11643,2789,2711,2888,4,4,4,27,28,26,1.7,2.8,0.54,0.15,4574,76,6221,84,48,23,2944,879,912,556,74,26
"""01197401""","""Tuscaloosa Area MPO""","""Birmingham-Hoover, AL,Jasper, AL,Tuscaloosa, AL""",79.00,128637.40,44825.60,486452.56,54,65,44,27,34,22,27,31,22,8.15,7.67,1.83,2,2,19792,19339,19997,1,1,1,13668,12648,14024,10931,9972,11258,2734,2673,2763,3,3,3,14,15,14,1.4,3.7,0.51,0.09,6871,60,11907,83,44,13,3915,1141,1195,777,68,32
"""01197402""","""Shoals Area MPO""","""Florence-Muscle Shoals, AL""",57.90,65604.88,27115.57,102374.39,50,60,40,23,28,17,28,32,22,7.61,6.26,1.79,2,2,18606,17991,19768,0,1,1,13291,12272,14084,10711,9775,11342,2570,2486,2731,10,10,10,12,13,13,1.9,3.1,0.78,0.26,5730,76,6795,83,34,40,2406,912,1021,568,71,29
"""01197501""","""Montgomery MPO""","""Montgomery, AL""",198.32,236119.43,90802.45,403979.13,50,61,43,24,30,20,26,30,23,8.15,9.67,1.83,2,2,19823,19552,20321,1,1,1,13731,12707,14230,10972,9984,11402,2739,2702,2807,20,21,20,25,27,25,1.8,3.9,0.85,0.22,8829,72,11858,82,50,21,3175,1069,1106,851,66,34
"""01197502""","""Auburn - Opelika MPO""","""Auburn-Opelika, AL,LaGrange, GA-AL""",22.32,35154.71,12070.59,29200.20,51,61,42,24,30,20,26,30,22,7.63,6.90,1.82,2,2,19181,18509,19780,1,1,1,13540,12533,13957,10879,9964,11214,2650,2558,2733,11,11,11,13,14,13,3.2,2.9,2.68,0.41,6483,60,9247,84,41,41,2213,1044,1252,742,60,40
"""01197601""","""Huntsville MPO""","""Huntsville, AL,Scottsboro, AL""",114.75,170414.67,71767.19,204561.94,42,51,43,21,26,21,21,25,22,7.48,9.13,1.84,2,2,18570,18226,18878,1,1,1,13568,13146,13693,10983,10607,11065,2565,2518,2608,20,21,21,25,26,26,3.2,3.7,2.39,0.35,10208,69,16268,83,22,66,1494,1107,1145,834,65,35
"""01197602""","""Calhoun Area Metropolitan Planning Organization""","""Anniston-Oxford, AL,Talladega-Sylacauga, AL""",51.06,61357.94,24155.66,116278.98,52,62,40,23,28,17,29,34,23,8.00,4.40,1.81,2,2,19463,18936,20360,1,1,1,13487,12486,14317,10784,9856,11492,2689,2617,2813,13,14,13,16,17,16,4.4,2.6,1.33,0.21,4690,74,5756,84,34,43,1789,880,946,650,72,28
"""01197700""","""Birmingham MPO""","""Birmingham-Hoover, AL,Cullman, AL,Jasper, AL,Tuscaloosa, AL""",488.00,613991.24,240164.50,856831.18,48,58,44,25,31,22,23,27,22,7.57,9.79,1.82,2,2,18726,18390,19021,1,1,1,13483,12508,13732,10886,9957,11094,2587,2541,2628,9,10,9,16,17,16,2.4,4.9,1.38,0.28,11120,70,18310,81,28,38,2245,1177,1246,758,70,30
"""01198200""","""Decatur Area MPO""","""Decatur, AL""",52.46,80731.72,31670.83,99433.79,50,60,41,23,28,18,27,31,23,8.00,7.55,1.85,2,2,19389,18734,20070,1,1,1,13731,12697,14230,11042,10097,11446,2679,2589,2773,11,11,11,14,14,14,2.2,2.9,1.08,0.32,6376,70,8206,84,29,37,2128,958,1059,755,71,29
