Block,PLACEFP,PLACENS,PLACE_GEOID,PLACE,COUNTY,GEO_ID
1039,200,2403062,4700200,Adams,Robertson,7500000US471470802001039
1022,200,2403062,4700200,Adams,Robertson,7500000US471470802001022
1020,200,2403062,4700200,Adams,Robertson,7500000US471470802001020
1030,200,2403062,4700200,Adams,Robertson,7500000US471470802001030
1027,200,2403062,4700200,Adams,Robertson,7500000US471470802001027
1016,200,2403062,4700200,Adams,Robertson,7500000US471470802001016
1037,200,2403062,4700200,Adams,Robertson,7500000US471470802001037
1014,200,2403062,4700200,Adams,Robertson,7500000US471470802001014
1025,200,2403062,4700200,Adams,Robertson,7500000US471470802001025
1012,200,2403062,4700200,Adams,Robertson,7500000US471470802001012
1013,200,2403062,4700200,Adams,Robertson,7500000US471470802001013
1038,200,2403062,4700200,Adams,Robertson,7500000US471470802001038
2040,200,2403062,4700200,Adams,Robertson,7500000US471470802002040
1017,200,2403062,4700200,Adams,Robertson,7500000US471470802001017
1035,200,2403062,4700200,Adams,Robertson,7500000US471470802001035
1018,200,2403062,4700200,Adams,Robertson,7500000US471470802001018
1024,200,2403062,4700200,Adams,Robertson,7500000US471470802001024
1015,200,2403062,4700200,Adams,Robertson,7500000US471470802001015
2041,200,2403062,4700200,Adams,Robertson,7500000US471470802002041
1044,200,2403062,4700200,Adams,Robertson,7500000US471470802001044
1023,200,2403062,4700200,Adams,Robertson,7500000US471470802001023
1036,200,2403062,4700200,Adams,Robertson,7500000US471470802001036
1019,200,2403062,4700200,Adams,Robertson,7500000US471470802001019
1026,200,2403062,4700200,Adams,Robertson,7500000US471470802001026
1085,200,2403062,4700200,Adams,Robertson,7500000US471470802001085
1021,200,2403062,4700200,Adams,Robertson,7500000US471470802001021
2020,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703002020
2042,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703002042
1035,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703001035
2059,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210701042059
2041,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703002041
2019,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703002019
2038,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210701042038
2041,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210701042041
2045,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210701042045
2012,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703002012
2033,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210701042033
2017,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703002017
2005,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703002005
1004,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210703001004
2036,2180,2405175,4702180,Ashland City,Cheatham,7500000US470210701042036
