NAME,GEO_ID,2017,2020,2025,2035,2045
"Cheatham County, Tennessee",0500000US47021,14671,15668,17101,19514,22019
"Davidson County, Tennessee",0500000US47037,273497,284409,297798,315192,332379
"Dickson County, Tennessee",1600000US4720620,19032,20120,21596,23868,26141
"Houston County, Tennessee",0500000US47083,2999,3188,3444,3840,4230
"Humphreys County, Tennessee",0500000US47085,7064,7324,7622,7949,8247
"Maury County, Tennessee",0500000US47119,33332,35142,37634,41564,45587
"Montgomery County, Tennessee",0500000US47125,68904,75690,86383,107198,130932
"Robertson County, Tennessee",0500000US47147,25065,26843,29434,33903,38621
"Rutherford County, Tennessee",0500000US47149,106673,116770,132670,163640,199112
"Stewart County, Tennessee",0500000US47161,5315,5554,5860,6279,6684
"Sumner County, Tennessee",0500000US47165,64600,69723,77435,91424,106639
"Williamson County, Tennessee",0500000US47187,73160,83884,102311,143419,196361
"Wilson County, Tennessee",0500000US47189,47213,52200,60268,76650,96057
"Trousdale County, Tennessee",0500000US47169,2944,3092,3286,3567,3844
Cheatham Incorporated,,5489,6019,6799,8171,9550
Davidson Incorporated,,273489,284401,297789,315182,332369
Dickson Incorporated,,8747,9233,9875,10802,11735
Houston Incorporated,,1074,1158,1260,1420,1571
Humphreys Incorporated,,3243,3340,3440,3571,3665
Maury Incorporated,,20560,21720,23295,25781,28307
Montgomery Incorporated,,53533,58101,64535,74855,84382
Robertson Incorporated,,14896,16190,18064,21223,24394
Rutherford Incorporated,,77230,83117,91781,106352,118617
Stewart Incorporated,,898,915,940,969,994
Sumner Incorporated,,46764,50017,54639,62393,69353
Williamson Incorporated,,56722,61427,68214,84198,105675
Wilson Incorporated,,24427,25680,28732,33353,37542
Cheatham Unincorporated,,9182,9649,10302,11343,12469
Davidson Unincorporated,,8,8,9,10,10
Dickson Unincorporated,,10285,10887,11721,13066,14406
Houston Unincorporated,,1925,2030,2184,2420,2659
Humphreys Unincorporated,,3821,3984,4182,4378,4582
Maury Unincorporated,,12772,13422,14339,15783,17280
Montgomery Unincorporatede,,15371,17589,21848,32343,46550
Robertson Unincorporated,,10169,10653,11370,12680,14227
Rutherford Unincorporated,,29443,33653,40889,57288,80495
Stewart Unincorporated,,4417,4639,4920,5310,5690
Sumner Unincorporated,,17836,19706,22796,29031,37286
Williamson Unincorporated,,16438,22457,34097,59221,90686
Wilson Unincorporated,,22786,26520,31536,43297,58515
"Adams city, Tennessee",1600000US4700200,228,237,249,274,309
"Ashland City town, Tennessee",1600000US4702180,2070,2346,2737,3428,4101
"Belle Meade city, Tennessee",1600000US4704620,1021,1049,1081,1114,1146
"Berry Hill city, Tennessee",1600000US4705140,536,612,726,913,1171
"Brentwood city, Tennessee",1600000US4708280,13277,13804,14596,16051,17507
"Burns town, Tennessee",1600000US4709880,602,636,670,725,780
"Cedar Hill city, Tennessee",1600000US4711980,108,114,119,130,149
"Charlotte town, Tennessee",1600000US4713080,507,536,592,655,738
"Clarksville city, Tennessee",1600000US4715160,53533,58101,64535,74855,84382
"Columbia city, Tennessee",1600000US4716540,14954,16010,17564,19828,22151
"Coopertown town, Tennessee",1600000US4716980,1452,1513,1629,1859,2113
"Cross Plains city, Tennessee",1600000US4718420,667,685,699,746,801
"Cumberland City town, Tennessee",1600000US4718820,180,181,184,186,188
"Dickson city, Tennessee",1600000US4720620,5980,6323,6774,7444,8097
"Dover city, Tennessee",1600000US4721400,718,734,756,783,806
"Eagleville city, Tennessee",1600000US4722360,300,323,365,487,675
"Erin city, Tennessee",1600000US4724320,463,488,515,566,604
"Fairview city, Tennessee",1600000US4725440,3002,3463,4321,6706,11717
"Forest Hills city, Tennessee",1600000US4727020,1851,1963,2113,2282,2460
"Franklin city, Tennessee",1600000US4727740,28426,30510,33657,39205,46792
"Gallatin city, Tennessee",1600000US4728540,13319,14264,15708,18191,20394
"Goodlettsville city, Tennessee",1600000US4729920,7087,7582,8251,9143,9995
"Greenbrier town, Tennessee",1600000US4730960,2505,2641,2812,3115,3393
"Hendersonville city, Tennessee",1600000US4733280,21298,22645,24433,27346,29763
"Kingston Springs town, Tennessee",1600000US4739660,1054,1125,1222,1393,1565
"La Vergne city, Tennessee",1600000US4741200,11036,11707,12832,14622,16197
"La Vergne city, Tennessee",1600000US4741200,11036,11705,12825,14611,16170
"La Vergne city, Tennessee",1600000US4741200,0,2,7,11,27
"Lebanon city, Tennessee",1600000US4741520,11783,13538,15449,18202,20476
"McEwen city, Tennessee",1600000US4744840,741,758,782,811,825
