NAME,GEO_ID,Population: Current Population,Population: Ethnic Minorities,Population: School-Aged Children,Population: Living Below Poverty,Population: Senior Citizens,Population: Average Household Size,Housing: Current Number of Housing Units,Housing: Single Family Detached Homes,Housing: Single Family Attached Homes,Housing: Mobile Homes,Housing: Countywide Median Household Income,Housing: Percent of Homeowners Who are Costburdened,Housing: Percent of Renters Who are Costburdened,Employment: Current Number of Occupied Jobs,Industry ACS: Occupied Percent Blue Collar,Industry ACS: Occupied Percent White Collar,Percent Increase in Population 2010 to 2020,Percent Increase in Housing Units 2010 to 2020,People Per Month Between 2010 and 2020,Occupied Jobs Gained Per Month Between 2010 and 2020,Housing Units Gained Per Month Between 2010 and 2020,Housing: Percent Units Multifamily,Industry ACS: Occupied Employment Professional,Industry ACS: Occupied Employment Percent Professional,Industry ACS: Occupied Employment Retail,Industry ACS: Occupied Employment Percent Retail,Industry ACS: Occupied Employment Industry,Industry ACS: Occupied Employment Percent Industry,Industry ACS: Occupied Employment Government,Industry ACS: Occupied Employment Percent Government,Industry BEA:% Change in Total Jobs Since 2010,Industry BEA:% Place of Work Blue Collar,Industry BEA:% Place of Work Farm,Industry BEA:% Place of Work Government,Industry BEA:% Place of Work Industry,Industry BEA:% Place of Work Professional,Industry BEA:% Place of Work Retail,Industry BEA:% Place of Work White Collar,Industry BEA:Jobs Gained Per Month Since 2010,Industry BEA:Place of Work Blue Collar,Industry BEA:Place of Work Farm,Industry BEA:Place of Work Government,Industry BEA:Place of Work Industry,Industry BEA:Place of Work Professional,Industry BEA:Place of Work Retail,Industry BEA:Place of Work Total Jobs,Industry BEA:Place of Work Total Jobs 2010,Industry BEA:Place of Work White Collar,Housing: Median Household Income
Stewart County,0500000US47161,13657.0,9.782529105952992,15.531616616247328,13.2873425314937,19.759462849553604,2.57,6882.0,72.94391165358908,1.2786980528916014,21.21476315024702,49537.0,16.2408297495573,28.515318146111547,5622.0,33.65350409107079,30.813097551786505,2.4992494746322427,3.101123595505618,2.775,7.583333333333333,1.725,3.647195582679453,1794.0,31.910352187833514,1627.0,28.939879046602634,1992.0,35.432230522945574,209.0,3.7175382426182852,-1.2073713196356703,26.993996569468266,7.590051457975987,23.47770154373928,29.28816466552316,17.903087478559176,21.7409948542024,22.9631217838765,-0.475,1259.0,354.0,1095.0,1366.0,835.0,1014.0,4664.0,4721.0,1071.0,
Montgomery County,0500000US47125,220069.0,40.339620755308566,18.44998829222604,12.31367304266245,9.30036294099282,2.7,82742.0,73.12610282565082,2.087210848178676,4.106741437238645,60878.0,18.92552161281803,40.61364415495372,85780.0,26.08766612263931,37.355976761952,27.701342184517006,22.560767874864837,397.81666666666666,159.33333333333334,126.925,20.658190519929423,34145.0,39.805315924457915,22104.0,25.768244346001403,22757.0,26.52949405455817,6774.0,7.896945674982514,28.22588220559226,19.524315348644127,1.0732207611442806,15.463414038557808,19.75019230064833,31.708240235400414,32.004932664249175,27.39215901737421,150.24166666666667,15991.0,879.0,12665.0,16176.0,25970.0,26213.0,81903.0,63874.0,22435.0,
Robertson County,0500000US47147,72803.0,21.63921816408665,17.655180186526163,11.224066686684113,14.695274858414807,2.68,27674.0,80.98937630989377,1.61162101611621,8.751897087518971,66088.0,16.952227373513402,36.333227142402045,34904.0,34.90144396057758,30.804514976516057,9.836609688758807,8.072011559339243,54.333333333333336,37.75833333333333,17.225,8.647105586471055,12895.0,36.94418977767591,7654.0,21.92871877148751,12725.0,36.45713958285584,1630.0,4.669951867980747,24.578163317594523,36.1852156540134,4.4394170877893995,11.458455752732402,37.14596309789634,22.875778587378072,24.080385474203784,17.390410153954637,55.958333333333336,12316.0,1511.0,3900.0,12643.0,7786.0,8196.0,34036.0,27321.0,5919.0,
Sumner County,0500000US47165,196281.0,20.94548122334816,17.53090366581415,9.929815860968564,15.925511508951406,2.71,73422.0,74.53896652229577,3.245621203454005,6.303287842880881,69878.0,19.72281873856677,40.60015248883564,94770.0,28.05318138651472,34.14464885351515,22.183074480998474,14.594746453153533,296.96666666666664,168.925,77.925,15.901228514614148,38214.0,40.32288698955366,25095.0,26.479898702120924,27107.0,28.602933417748233,4354.0,4.594280890577187,35.994710052438144,25.660364557420056,1.6316884526663349,10.199466280700168,25.854855488715,35.30688859740378,27.00710118051472,29.593152110000453,195.05833333333334,22693.0,1443.0,9020.0,22865.0,31224.0,23884.0,88436.0,65029.0,26171.0,
Trousdale County,0500000US47169,11615.0,24.35643564356436,13.547204399633364,9.792,13.327222731439049,2.77,3685.0,77.47625508819539,0.0,19.43012211668928,56981.0,29.778830963665087,22.97921478060046,4747.0,34.65346534653465,22.98387739172377,47.58576874205845,10.494752623688155,31.208333333333332,9.258333333333333,2.9166666666666665,3.093622795115332,1293.0,27.238255740467665,1465.0,30.86159679797767,1657.0,34.90625658310512,332.0,6.993890878449547,14.986269125147116,30.433299215284887,15.694302285909245,15.55783009211873,30.67212555441829,22.040259297168202,16.035482770385535,20.812009553053564,3.183333333333333,892.0,460.0,456.0,899.0,646.0,470.0,2931.0,2549.0,610.0,
Houston County,0500000US47083,8283.0,9.56175298804781,16.741860748689184,14.825174825174823,20.631630288989147,2.73,4238.0,70.50495516753186,0.094384143463898,25.5545068428504,43521.0,19.982773471145563,25.963149078726964,3158.0,44.648511716276126,25.83538855650136,-1.6971279373368147,1.80158539514773,-1.1916666666666667,1.15,0.625,3.8461538461538463,759.0,24.034198860037996,745.0,23.590880303989866,1471.0,46.580113996200126,183.0,5.794806839772008,-9.197786998616873,18.926123381568928,12.909367859862908,22.772277227722775,21.74409748667174,21.667936024371667,20.906321401370906,19.42117288651942,-2.216666666666667,497.0,339.0,598.0,571.0,569.0,549.0,2626.0,2892.0,510.0,
Humphreys County,0500000US47085,18990.0,9.942074776197998,16.41839378238342,15.514473902695524,19.39227115716753,2.66,8983.0,76.06590225982411,0.6679283090281642,16.38650784815763,48411.0,17.702727778808686,33.44594594594595,7546.0,38.78876225815001,28.60050019918473,2.438234976804402,1.1826988060373957,3.7666666666666666,-2.075,0.875,6.879661582990093,2239.0,29.671349059104163,1791.0,23.734428836469654,3066.0,40.63079777365491,450.0,5.963424330771269,1.5158749104798281,32.286890064667844,7.325102880658436,14.673721340388008,33.13345091122869,18.977072310405642,25.89065255731922,16.249265138154026,1.0583333333333333,2746.0,623.0,1248.0,2818.0,1614.0,2202.0,8505.0,8378.0,1382.0,
Dickson County,0500000US47043,54315.0,13.478781183835038,17.02978100546079,11.921762248385871,15.975154347050983,2.69,22097.0,75.91075711635064,1.909761506086799,13.123953477847673,57804.0,15.378416493183805,33.9974293059126,24592.0,34.03139232270657,31.158002835289487,9.360528329239319,7.974590764720254,38.74166666666667,15.566666666666666,13.6,8.965017875729737,9001.0,36.60133376707873,5910.0,24.03220559531555,8707.0,35.40582303188028,974.0,3.9606376057254393,19.836486802149032,28.213325016568554,4.377996959182878,10.88846438735332,28.677244551869325,29.6128805894507,26.443413512143778,22.969864722622898,35.38333333333333,7237.0,1123.0,2793.0,7356.0,7596.0,6783.0,25651.0,21405.0,5892.0,
Cheatham County,0500000US47021,41072.0,11.621055707051031,16.482893016601295,10.727940625234275,14.955968326796418,2.62,16459.0,76.60246673552463,2.059663406039249,12.607084270004254,63988.0,17.137317710528535,28.662420382165603,20106.0,32.408236347359,31.58648845788563,5.030047308528321,6.703403565640195,16.391666666666666,8.666666666666666,8.616666666666667,8.73078558843186,7125.0,35.437182930468516,4914.0,24.440465532676814,6653.0,33.089624987565905,1414.0,7.0327265492887685,9.024755653848898,35.8133752126685,2.8137678314356758,11.307420494699647,36.17327574924748,25.179950268289492,24.525585656327706,19.49352179034158,10.541666666666666,5473.0,430.0,1728.0,5528.0,3848.0,3748.0,15282.0,14017.0,2979.0,
Davidson County,0500000US47037,715884.0,45.96401092914494,14.160801691429894,14.232949022774513,12.272714107799692,2.31,319739.0,51.95581396076175,8.039369610838841,1.5099815787251476,62515.0,21.324099370989263,46.801617590154855,383444.0,20.925350246711385,39.67101179515737,14.234195707225846,14.167220115545843,743.3583333333333,588.375,330.64166666666665,38.46449760585978,182982.0,47.72065803611479,105054.0,27.397481770480177,80930.0,21.10608067931693,14478.0,3.7757795140881067,24.2295957728078,19.17559424432593,0.06990191887008541,7.582173762439577,19.209452986278627,49.64705772213363,23.491413610278077,42.69509344700717,1041.6666666666667,122896.0,448.0,48594.0,123113.0,318187.0,150556.0,640898.0,515898.0,273632.0,
