NAME,GEO_ID,pop,agebysex_total_series,age_total_male,age_m_u5,age_m_5to9,age_m_10to14,age_m_15to17,age_m_18to19,age_m_20,age_m_21,age_m_22to24,age_m_25to29,age_m_30to34,age_m_35to39,age_m_40to44,age_m_45to49,age_m_50to54,age_m_55to59,age_m_60to61,age_m_62to64,age_m_65to66,age_m_67to69,age_m_70to74,age_m_75to79,age_m_80to84,age_m_85+,age_total_female,age_f_u5,age_f_5to9,age_f_10to14,age_f_15to17,age_f_18to19,age_f_20,age_f_21,age_f_22to24,age_f_25to29,age_f_30to34,age_f_35to39,age_f_40to44,age_f_45to49,age_f_50to54,age_f_55to59,age_f_60to61,age_f_62to64,age_f_65to66,age_f_67to69,age_f_70to74,age_f_75to79,age_f_80to84,age_f_85+,raceeth_total_series,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces_alone,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,hhsize_avg,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,tenure_total_series,tenure_owneroccunits_mortgage,tenure_owneroccunits_nomortgage,tenure_renteroccunits,hhtype_total_series,hhtype_familyhh,hhtype_familyhh_marriedcouplefam,hhtype_familyhh_otherfam,hhtype_familyhh_malenospouse,hhtype_familyhh_femalenospouse,hhtype_nonfamhh,hhtype_nonfamhh_householderalone,hhtype_nonfamhh_householdernotalone,StateFIPS,GeoFIPS
"Williamson County, Tennessee",0500000US47187,183182.0,183182.0,89336.0,6324.0,7997.0,8372.0,4712.0,2098.0,684.0,621.0,2155.0,3682.0,4755.0,6623.0,7440.0,7677.0,7402.0,6010.0,2131.0,2793.0,1405.0,1693.0,1930.0,1297.0,893.0,642.0,93846.0,6039.0,7718.0,7870.0,4597.0,1705.0,528.0,607.0,2188.0,4177.0,5558.0,7285.0,8076.0,8621.0,7767.0,6229.0,2141.0,2793.0,1485.0,1770.0,2202.0,1715.0,1330.0,1445.0,183182.0,163728.0,7941.0,396.0,5517.0,82.0,2784.0,2734.0,158769.0,8166.0,2.81,68498.0,68498.0,64886.0,3612.0,64886.0,40747.0,11970.0,12169.0,64886.0,51242.0,44172.0,7070.0,1734.0,5336.0,13644.0,11505.0,2139.0,47.0,187.0
"Wilson County, Tennessee",0500000US47189,113993.0,113993.0,55834.0,3746.0,4118.0,4271.0,2473.0,1480.0,684.0,534.0,1590.0,2872.0,3382.0,4097.0,4273.0,4663.0,4373.0,3739.0,1374.0,1924.0,1062.0,1406.0,1731.0,1061.0,566.0,415.0,58159.0,3572.0,3933.0,4086.0,2362.0,1273.0,554.0,543.0,1639.0,3158.0,3695.0,4283.0,4501.0,4988.0,4548.0,3864.0,1439.0,2094.0,1128.0,1498.0,1793.0,1308.0,970.0,930.0,113993.0,101379.0,7297.0,395.0,1276.0,44.0,1751.0,1851.0,99717.0,3691.0,2.65,45568.0,45568.0,42563.0,3005.0,42563.0,24602.0,9128.0,8833.0,42563.0,32177.0,25571.0,6606.0,1845.0,4761.0,10386.0,8452.0,1934.0,47.0,189.0
"Houston County, Tennessee",0500000US47083,8426.0,8426.0,4144.0,245.0,304.0,287.0,186.0,124.0,48.0,45.0,113.0,214.0,228.0,242.0,264.0,282.0,317.0,295.0,104.0,169.0,110.0,140.0,180.0,117.0,86.0,44.0,4282.0,228.0,276.0,298.0,168.0,92.0,45.0,45.0,133.0,202.0,223.0,268.0,276.0,307.0,281.0,329.0,120.0,165.0,107.0,141.0,192.0,162.0,107.0,117.0,8426.0,8015.0,193.0,24.0,25.0,3.0,35.0,131.0,7931.0,129.0,2.46,4188.0,4188.0,3349.0,839.0,3349.0,1365.0,1179.0,805.0,3349.0,2285.0,1752.0,533.0,165.0,368.0,1064.0,942.0,122.0,47.0,83.0
"Humphreys County, Tennessee",0500000US47085,18538.0,18538.0,9115.0,539.0,569.0,627.0,460.0,266.0,92.0,106.0,263.0,433.0,532.0,592.0,579.0,665.0,682.0,639.0,273.0,345.0,211.0,345.0,378.0,252.0,172.0,95.0,9423.0,502.0,613.0,596.0,387.0,213.0,99.0,77.0,260.0,471.0,521.0,595.0,602.0,681.0,693.0,720.0,261.0,380.0,217.0,308.0,424.0,331.0,250.0,222.0,18538.0,17629.0,463.0,82.0,35.0,6.0,101.0,222.0,17498.0,278.0,2.46,8865.0,8865.0,7454.0,1411.0,7454.0,3062.0,2561.0,1831.0,7454.0,5116.0,3887.0,1229.0,369.0,860.0,2338.0,1969.0,369.0,47.0,85.0
"Macon County, Tennessee",0500000US47111,22248.0,22248.0,10959.0,792.0,752.0,819.0,460.0,294.0,135.0,139.0,386.0,654.0,646.0,759.0,831.0,829.0,724.0,726.0,297.0,372.0,239.0,287.0,327.0,251.0,153.0,87.0,11289.0,731.0,727.0,790.0,496.0,274.0,135.0,147.0,356.0,644.0,679.0,698.0,819.0,796.0,785.0,744.0,280.0,398.0,246.0,336.0,406.0,327.0,222.0,253.0,22248.0,21364.0,93.0,78.0,44.0,3.0,435.0,231.0,20961.0,919.0,2.57,9861.0,9861.0,8561.0,1300.0,8561.0,3463.0,2868.0,2230.0,8561.0,6112.0,4670.0,1442.0,478.0,964.0,2449.0,2078.0,371.0,47.0,111.0
"Maury County, Tennessee",0500000US47119,80956.0,80956.0,39155.0,3021.0,2702.0,2699.0,1668.0,1084.0,477.0,436.0,1349.0,2583.0,2576.0,2588.0,2498.0,2752.0,3193.0,2763.0,965.0,1396.0,686.0,929.0,1120.0,795.0,518.0,357.0,41801.0,2789.0,2697.0,2610.0,1471.0,951.0,477.0,420.0,1467.0,2758.0,2817.0,2559.0,2645.0,3215.0,3364.0,2984.0,1078.0,1425.0,747.0,1022.0,1354.0,1133.0,945.0,873.0,80956.0,66677.0,10154.0,265.0,489.0,29.0,1760.0,1582.0,64919.0,3909.0,2.52,35254.0,35254.0,31663.0,3591.0,31663.0,15497.0,7316.0,8850.0,31663.0,22449.0,16490.0,5959.0,1495.0,4464.0,9214.0,7705.0,1509.0,47.0,119.0
"Montgomery County, Tennessee",0500000US47125,172331.0,172331.0,84454.0,7803.0,6754.0,6257.0,3697.0,2498.0,1435.0,1507.0,5140.0,8306.0,6592.0,5883.0,5495.0,5379.0,4839.0,3804.0,1367.0,1746.0,909.0,1202.0,1563.0,1195.0,679.0,404.0,87877.0,7526.0,6548.0,6027.0,3602.0,2756.0,1583.0,1545.0,4994.0,8074.0,6722.0,6281.0,5630.0,5778.0,5310.0,4198.0,1505.0,1959.0,1062.0,1441.0,2004.0,1489.0,936.0,907.0,172331.0,122336.0,32982.0,988.0,3570.0,676.0,4164.0,7615.0,115553.0,13752.0,2.65,70098.0,70098.0,63673.0,6425.0,63673.0,30811.0,8695.0,24167.0,63673.0,45596.0,33143.0,12453.0,2914.0,9539.0,18077.0,14302.0,3775.0,47.0,125.0
"Rutherford County, Tennessee",0500000US47149,262604.0,262604.0,129726.0,9752.0,9863.0,9686.0,5785.0,4649.0,2556.0,2551.0,6820.0,10442.0,9869.0,9886.0,9212.0,9213.0,8178.0,6610.0,2274.0,3051.0,1536.0,2049.0,2444.0,1612.0,1010.0,678.0,132878.0,9518.0,9410.0,9232.0,5468.0,4610.0,2464.0,2378.0,6549.0,10302.0,10288.0,10014.0,9395.0,9642.0,8635.0,7070.0,2393.0,3273.0,1814.0,2204.0,2923.0,2144.0,1580.0,1572.0,262604.0,205417.0,32886.0,954.0,7984.0,142.0,8927.0,6294.0,198483.0,17500.0,2.68,102968.0,102968.0,96232.0,6736.0,96232.0,52007.0,13442.0,30783.0,96232.0,66810.0,49665.0,17145.0,4854.0,12291.0,29422.0,21270.0,8152.0,47.0,149.0
"Robertson County, Tennessee",0500000US47147,66283.0,66283.0,32634.0,2342.0,2474.0,2461.0,1401.0,821.0,374.0,364.0,1126.0,2137.0,2142.0,2288.0,2268.0,2663.0,2470.0,2089.0,749.0,1008.0,535.0,756.0,906.0,638.0,378.0,244.0,33649.0,2284.0,2363.0,2368.0,1349.0,739.0,370.0,352.0,1097.0,2143.0,2200.0,2294.0,2392.0,2697.0,2557.0,2211.0,792.0,1094.0,564.0,792.0,1044.0,825.0,535.0,587.0,66283.0,57919.0,4934.0,234.0,331.0,32.0,1876.0,957.0,56159.0,3903.0,2.71,26086.0,26086.0,24197.0,1889.0,24197.0,13194.0,5102.0,5901.0,24197.0,18298.0,14103.0,4195.0,1311.0,2884.0,5899.0,4822.0,1077.0,47.0,147.0
"Stewart County, Tennessee",0500000US47161,13324.0,13324.0,6655.0,358.0,462.0,464.0,291.0,184.0,72.0,78.0,191.0,317.0,362.0,371.0,469.0,568.0,495.0,485.0,168.0,292.0,174.0,221.0,263.0,187.0,103.0,80.0,6669.0,331.0,390.0,456.0,294.0,159.0,53.0,63.0,202.0,320.0,325.0,425.0,453.0,526.0,532.0,493.0,178.0,274.0,173.0,216.0,292.0,223.0,150.0,141.0,13324.0,12605.0,188.0,75.0,137.0,3.0,81.0,235.0,12469.0,250.0,2.46,6778.0,6778.0,5386.0,1392.0,5386.0,2432.0,1726.0,1228.0,5386.0,3793.0,2995.0,798.0,281.0,517.0,1593.0,1373.0,220.0,47.0,161.0
"Sumner County, Tennessee",0500000US47165,160645.0,160645.0,78389.0,5352.0,5802.0,6023.0,3627.0,2089.0,880.0,817.0,2505.0,4625.0,4897.0,5514.0,5830.0,6309.0,5767.0,5134.0,1856.0,2651.0,1490.0,1880.0,2272.0,1456.0,991.0,622.0,82256.0,5115.0,5502.0,5806.0,3403.0,1841.0,835.0,788.0,2513.0,4789.0,5207.0,5905.0,6009.0,6685.0,6097.0,5427.0,1977.0,2806.0,1659.0,2137.0,2650.0,2027.0,1509.0,1569.0,160645.0,142844.0,10311.0,462.0,1638.0,114.0,2649.0,2627.0,139693.0,6308.0,2.61,65968.0,65968.0,60975.0,4993.0,60975.0,32883.0,12185.0,15907.0,60975.0,44593.0,34784.0,9809.0,2664.0,7145.0,16382.0,13457.0,2925.0,47.0,165.0
"Trousdale County, Tennessee",0500000US47169,7870.0,7870.0,3912.0,249.0,259.0,294.0,217.0,111.0,47.0,32.0,144.0,224.0,223.0,248.0,262.0,299.0,300.0,267.0,99.0,149.0,83.0,101.0,131.0,83.0,45.0,45.0,3958.0,244.0,241.0,284.0,147.0,109.0,47.0,35.0,117.0,252.0,215.0,250.0,288.0,302.0,304.0,291.0,104.0,151.0,62.0,110.0,137.0,107.0,79.0,82.0,7870.0,6852.0,754.0,33.0,18.0,1.0,73.0,139.0,6761.0,198.0,2.6,3368.0,3368.0,2976.0,392.0,2976.0,1394.0,860.0,722.0,2976.0,2136.0,1592.0,544.0,170.0,374.0,840.0,700.0,140.0,47.0,169.0
"Cheatham County, Tennessee",0500000US47021,39105.0,39105.0,19535.0,1229.0,1319.0,1513.0,936.0,526.0,260.0,189.0,604.0,1056.0,1182.0,1380.0,1513.0,1760.0,1607.0,1343.0,503.0,658.0,358.0,408.0,550.0,323.0,206.0,112.0,19570.0,1220.0,1264.0,1381.0,890.0,450.0,172.0,193.0,563.0,1100.0,1130.0,1452.0,1549.0,1746.0,1613.0,1368.0,537.0,649.0,336.0,434.0,585.0,410.0,284.0,244.0,39105.0,37374.0,564.0,128.0,140.0,15.0,395.0,489.0,36914.0,910.0,2.67,15663.0,15663.0,14520.0,1143.0,14520.0,8392.0,3515.0,2613.0,14520.0,10841.0,8461.0,2380.0,814.0,1566.0,3679.0,2924.0,755.0,47.0,21.0
"Davidson County, Tennessee",0500000US47037,626681.0,626681.0,303540.0,22868.0,18977.0,17479.0,10267.0,9407.0,5092.0,4969.0,15879.0,29806.0,26034.0,22927.0,20530.0,20999.0,20197.0,17858.0,6061.0,7975.0,3963.0,5087.0,6359.0,4738.0,3479.0,2589.0,323141.0,21823.0,18636.0,16425.0,9916.0,9409.0,5150.0,5459.0,17930.0,31591.0,25970.0,22223.0,20098.0,21845.0,22098.0,19615.0,6846.0,8919.0,4792.0,6160.0,8632.0,7172.0,6081.0,6351.0,626681.0,385039.0,173730.0,2091.0,19027.0,394.0,30757.0,15643.0,359883.0,61117.0,2.32,283978.0,283978.0,259499.0,24479.0,259499.0,109233.0,35882.0,114384.0,259499.0,145166.0,95093.0,50073.0,11811.0,38262.0,114333.0,89503.0,24830.0,47.0,37.0
"Dickson County, Tennessee",0500000US47043,49666.0,49666.0,24384.0,1686.0,1797.0,1829.0,1173.0,619.0,295.0,278.0,839.0,1462.0,1503.0,1633.0,1725.0,1926.0,1870.0,1510.0,585.0,794.0,465.0,603.0,770.0,514.0,286.0,222.0,25282.0,1602.0,1645.0,1659.0,1046.0,560.0,278.0,256.0,844.0,1537.0,1529.0,1733.0,1854.0,1963.0,1962.0,1653.0,594.0,842.0,519.0,640.0,885.0,665.0,495.0,521.0,49666.0,45611.0,2056.0,172.0,226.0,16.0,684.0,901.0,44880.0,1573.0,2.57,20820.0,20820.0,19107.0,1713.0,19107.0,9180.0,4804.0,5123.0,19107.0,13598.0,10122.0,3476.0,974.0,2502.0,5509.0,4574.0,935.0,47.0,43.0
