NAME,GEO_ID,Population,Male Under 5,Female Under 5,Male 5 to 9,Female 5 to 9,Male 5 to 14,Female 5 to 14,Male 15 to 24,Female 15 to 24,Male 10 to 14,Female 10 to 14,Male 15 to 17,Female 15 to 17,Male 18 to 24,Female 18 to 24,Male 25 to 34,Female 25 to 34,Male 35 to 44,Female 35 to 44,Male 45 to 54,Female 45 to 54,Male 55 to 64,Female 55 to 64,Male 65 to 74,Female 65 to 74,Male 75 to 84,Female 75 to 84,Male 85 and Older,Female 85 and Older,Age:Under 5,Age %:Under 5,Age:5 to 9,Age%:5 to 9,Age:10 to 14,Age%:10 to 14,Age:15 to 17,Age%:15 to 17,Age:18 to 24,Age%:18 to 24,Age:25 to 34,Age%:25 to 34,Age:35 to 44,Age%:35 to 44,Age:45 to 54,Age%:45 to 54,Age:55 to 64,Age%:55 to 64,Age:65 to 74,Age%:65 to 74,Age:75 to 84,Age%:75 to 84,Age:85 and Older,Age%:85 and Older,Age:School Age 5 to 18,Age%:School Age 5 to 18,Age:Under 18,Age%:Under 18,Age:18 to 54,Age%:18 to 54,Age:55 and Older,Age%:55 and Older,Age:65 and Older,Age%:65 and Older,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Total Households,Family Households,Family Households: Married Couple Family,"Household Type%: Family, Married Couple Households",Family Households: Not Married Couple Family,"Household Type%: Family, Not Married Couple Households",Family Households: Not Married Couple: Male no Spouse,Family Households: Not Married Couple: Female no Spouse,Nonfamily Households,Nonfamily Households: Householder Alone,"Household Type%: Nonfamily, Householder Alone",Nonfamily Households: Householder not Alone,"Household Type%: Nonfamily, Householder Not Alone",Average Household Size,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy%:Occupied Units,Occupancy:Vacant Units,Occupancy%:Vacant Units,Tenure:Total Households,Tenure:Owners,Tenure%:Owners,Tenure:Renters,Tenure%:Renters
"Williamson County, Tennessee",0500000US47187,183182.0,6324.0,6039.0,7997.0,7718.0,16369.0,15588.0,10270.0,9625.0,8372.0,7870.0,4712.0,4597.0,5558.0,5028.0,8437.0,9735.0,14063.0,15361.0,15079.0,16388.0,10934.0,11163.0,5028.0,5457.0,2190.0,3045.0,642.0,1445.0,12363.0,6.749025559279842,15715.0,8.57889967354871,16242.0,8.866591695690625,9309.0,5.081831184286665,10586.0,5.7789520804445855,18172.0,9.920188664825147,29424.0,16.062713585395947,30451.0,16.623358190215196,22097.0,12.062866438842244,10485.0,5.723815658743763,5235.0,2.8578135406317213,2087.0,1.139304080095206,41266.0,22.527322553526,53629.0,29.276348112805845,89649.0,48.939852168881224,39904.0,21.783799718312935,17807.0,9.72093327947069,163728.0,89.37996091319016,19454.0,7941.0,4.335032918081471,40.81936876734862,396.0,0.21617844548045112,2.0355710907782463,5517.0,3.0117587972617397,28.359206332887837,82.0,0.04476422355908332,0.4215071450601419,2784.0,1.519799980347414,14.310681607895548,2734.0,1.4925047220796803,14.053665056029608,8166.0,4.457861580286273,175016.0,95.54213841971372,24413.0,13.327182801803673,158769.0,0.8667281719819633,64886.0,51242.0,44172.0,68.07631846623309,7070.0,10.896033042566962,1734.0,5336.0,13644.0,11505.0,17.731097617359676,2139.0,3.296550873840274,2.81,68498.0,64886.0,94.72685333878361,3612.0,5.273146661216386,64886.0,52717.0,81.24556915205129,12169.0,18.75443084794871
"Wilson County, Tennessee",0500000US47189,113993.0,3746.0,3572.0,4118.0,3933.0,8389.0,8019.0,6761.0,6371.0,4271.0,4086.0,2473.0,2362.0,4288.0,4009.0,6254.0,6853.0,8370.0,8784.0,9036.0,9536.0,7037.0,7397.0,4199.0,4419.0,1627.0,2278.0,415.0,930.0,7318.0,6.419692437254919,8051.0,7.062714377198599,8357.0,7.331151912836753,4835.0,4.241488512452519,8297.0,7.278517101927311,13107.0,11.498074443167564,17154.0,15.048292439009414,17906.0,15.707982069074417,14434.0,12.662181011114718,8618.0,7.5601133402928244,3905.0,3.4256489433561708,1345.0,1.1798970112199871,21243.0,18.63535480248787,28561.0,25.05504723974279,57130.0,50.1171124542735,28302.0,24.8278403059837,13868.0,12.165659294868982,101379.0,88.93440825313836,12614.0,7297.0,6.401270253436614,57.84842238782305,395.0,0.34651250515382526,3.1314412557475824,1276.0,1.1193669786741292,10.115744410971935,44.0,0.03859886133359066,0.3488187727921357,1751.0,1.5360592317072101,13.881401617250674,1851.0,1.6237839165562797,14.67417155541462,3691.0,3.237918117779162,110302.0,96.76208188222084,14276.0,12.523576009053187,99717.0,0.8747642399094682,42563.0,32177.0,25571.0,60.07800202053427,6606.0,15.52052251955924,1845.0,4761.0,10386.0,8452.0,19.857622817940467,1934.0,4.543852641966027,2.65,45568.0,42563.0,93.4054599719101,3005.0,6.594540028089887,42563.0,33730.0,79.24723351267534,8833.0,20.752766487324674
"Houston County, Tennessee",0500000US47083,8426.0,245.0,228.0,304.0,276.0,591.0,574.0,516.0,483.0,287.0,298.0,186.0,168.0,330.0,315.0,442.0,425.0,506.0,544.0,599.0,588.0,568.0,614.0,430.0,440.0,203.0,269.0,44.0,117.0,473.0,5.613577023498695,580.0,6.88345596961785,585.0,6.942796107286969,354.0,4.2012817469736525,645.0,7.654877759316402,867.0,10.289579871825302,1050.0,12.461428910515073,1094.0,12.983622122003325,1182.0,14.028008544979825,870.0,10.325183954426773,472.0,5.601708995964871,161.0,1.9107524329456445,1519.0,18.02753382387847,1992.0,23.641110847377167,3749.0,44.49323522430572,2685.0,31.865653928317112,1503.0,17.83764538333729,8015.0,95.12224068359839,411.0,193.0,2.2905293140280087,46.95863746958637,24.0,0.28483266081177305,5.839416058394161,25.0,0.296700688345597,6.082725060827251,3.0,0.03560408260147163,0.7299270072992701,35.0,0.41538096368383576,8.51581508515815,131.0,1.554711606930928,31.873479318734795,129.0,1.5309755518632804,8297.0,98.46902444813672,495.0,5.87467362924282,7931.0,0.9412532637075718,3349.0,2285.0,1752.0,52.31412361899075,533.0,15.915198566736338,165.0,368.0,1064.0,942.0,28.12779934308749,122.0,3.642878471185428,2.46,4188.0,3349.0,79.96657115568291,839.0,20.033428844317097,3349.0,2544.0,75.96297402209615,805.0,24.037025977903852
"Humphreys County, Tennessee",0500000US47085,18538.0,539.0,502.0,569.0,613.0,1196.0,1209.0,1187.0,1036.0,627.0,596.0,460.0,387.0,727.0,649.0,965.0,992.0,1171.0,1197.0,1347.0,1374.0,1257.0,1361.0,934.0,949.0,424.0,581.0,95.0,222.0,1041.0,5.6154925018880135,1182.0,6.37609235084691,1223.0,6.5972596828136805,847.0,4.568993418923293,1376.0,7.42259143381163,1957.0,10.556694357535873,2368.0,12.773762002373504,2545.0,13.728557557449564,2618.0,14.122343294853815,1883.0,10.1575142949617,1005.0,5.421296795770849,317.0,1.7100010788650337,3252.0,17.54234545258388,4293.0,23.157837954471898,8422.0,45.4310065810767,5823.0,31.411155464451397,3205.0,17.288812169597584,17629.0,95.09655842054158,909.0,463.0,2.4975725536735354,50.935093509350935,82.0,0.4423346639335419,9.02090209020902,35.0,0.1888013809472435,3.850385038503851,6.0,0.03236595101952745,0.6600660066006601,101.0,0.5448268421620456,11.11111111111111,222.0,1.1975401877225158,24.422442244224424,278.0,1.4996223972381055,18260.0,98.50037760276189,1040.0,5.610098176718092,17498.0,0.9438990182328191,7454.0,5116.0,3887.0,52.14649852428227,1229.0,16.487791789643143,369.0,860.0,2338.0,1969.0,26.41534746444862,369.0,4.950362221625973,2.46,8865.0,7454.0,84.08347433728144,1411.0,15.916525662718556,7454.0,5623.0,75.43600751274484,1831.0,24.563992487255167
"Macon County, Tennessee",0500000US47111,22248.0,792.0,731.0,752.0,727.0,1571.0,1517.0,1414.0,1408.0,819.0,790.0,460.0,496.0,954.0,912.0,1300.0,1323.0,1590.0,1517.0,1553.0,1581.0,1395.0,1422.0,853.0,988.0,404.0,549.0,87.0,253.0,1523.0,6.845559151384394,1479.0,6.647788565264294,1609.0,7.232110751528227,956.0,4.297015462064006,1866.0,8.387270765911541,2623.0,11.789823804386911,3107.0,13.965300251708019,3171.0,14.252966558791801,2817.0,12.66181229773463,1841.0,8.274901114706939,953.0,4.2835311039194535,340.0,1.528227256382596,4044.0,18.176914778856528,5567.0,25.022473930240917,10730.0,48.22905429701546,5951.0,26.748471772743613,3134.0,14.08665947500899,21364.0,96.02660913340524,884.0,93.0,0.4180151024811219,10.520361990950226,78.0,0.35059331175836034,8.823529411764707,44.0,0.1977705861201007,4.97737556561086,3.0,0.013484358144552318,0.3393665158371041,435.0,1.9552319309600865,49.20814479638009,231.0,1.0382955771305287,26.131221719457017,919.0,4.130708378281193,21329.0,95.86929162171882,1287.0,5.784789644012945,20961.0,0.9421521035598706,8561.0,6112.0,4670.0,54.549702137600754,1442.0,16.843826655764513,478.0,964.0,2449.0,2078.0,24.272865319472025,371.0,4.333605887162715,2.57,9861.0,8561.0,86.81675286482101,1300.0,13.183247135178988,8561.0,6331.0,73.95164116341549,2230.0,26.048358836584512
"Maury County, Tennessee",0500000US47119,80956.0,3021.0,2789.0,2702.0,2697.0,5401.0,5307.0,5014.0,4786.0,2699.0,2610.0,1668.0,1471.0,3346.0,3315.0,5159.0,5575.0,5086.0,5204.0,5945.0,6579.0,5124.0,5487.0,2735.0,3123.0,1313.0,2078.0,357.0,873.0,5810.0,7.17673798112555,5399.0,6.669054795197391,5309.0,6.557883294629181,3139.0,3.877414892040121,6661.0,8.227926280942734,10734.0,13.259054301101832,10290.0,12.710608231631998,11665.0,14.409061712535204,10611.0,13.107119916991946,5858.0,7.236029448095262,3391.0,4.188695093631108,1230.0,1.5193438410988687,13847.0,17.104352981866693,19657.0,24.281090962992245,40209.0,49.66772073719057,21090.0,26.051188299817184,10479.0,12.944068382825238,66677.0,82.3620238154059,14279.0,10154.0,12.54261574188448,71.1114223685132,265.0,0.327338307228618,1.855872259962182,489.0,0.6040318197539405,3.4246095664962533,29.0,0.03582192796086763,0.20309545486378597,1760.0,2.1740204555561045,12.325793122767701,1582.0,1.9541479322100894,11.079207227396877,3909.0,4.828548841345916,77047.0,95.17145115865408,16037.0,19.8095261623598,64919.0,0.801904738376402,31663.0,22449.0,16490.0,52.079714493257114,5959.0,18.820073903294066,1495.0,4464.0,9214.0,7705.0,24.33439661434482,1509.0,4.765814989104002,2.52,35254.0,31663.0,89.81392182447382,3591.0,10.18607817552618,31663.0,22813.0,72.04939519312762,8850.0,27.950604806872377
"Montgomery County, Tennessee",0500000US47125,172331.0,7803.0,7526.0,6754.0,6548.0,13011.0,12575.0,14277.0,14480.0,6257.0,6027.0,3697.0,3602.0,10580.0,10878.0,14898.0,14796.0,11378.0,11911.0,10218.0,11088.0,6917.0,7662.0,3674.0,4507.0,1874.0,2425.0,404.0,907.0,15329.0,8.895091422901277,13302.0,7.7188665997411965,12284.0,7.128142934237021,7299.0,4.235453864945947,21458.0,12.451619267572287,29694.0,17.230794227387992,23289.0,13.514109475370073,22466.0,13.036540146578387,14579.0,8.459882435545548,8181.0,4.747259634076284,4299.0,2.494617915523034,1311.0,0.760745309897813,32885.0,19.082463398924162,48214.0,27.97755482182544,95747.0,55.55993988313188,28370.0,16.46250529504268,13791.0,8.00262285949713,122336.0,70.98896890286716,49995.0,32982.0,19.138750427955504,65.97059705970597,988.0,0.573315306009946,1.9761976197619762,3570.0,2.071594779813266,7.140714071407141,676.0,0.392268367269963,1.3521352135213522,4164.0,2.4162802977990028,8.328832883288328,7615.0,4.41882191828516,15.231523152315232,13752.0,7.979991992154632,158579.0,92.02000800784536,56778.0,32.94706117877805,115553.0,0.6705293882122195,63673.0,45596.0,33143.0,52.05189012611311,12453.0,19.557740329496017,2914.0,9539.0,18077.0,14302.0,22.461639941576493,3775.0,5.928729602814379,2.65,70098.0,63673.0,90.83426060657936,6425.0,9.16573939342064,63673.0,39506.0,62.04513687120129,24167.0,37.954863128798706
"Rutherford County, Tennessee",0500000US47149,262604.0,9752.0,9518.0,9863.0,9410.0,19549.0,18642.0,22361.0,21469.0,9686.0,9232.0,5785.0,5468.0,16576.0,16001.0,20311.0,20590.0,19098.0,19409.0,17391.0,18277.0,11935.0,12736.0,6029.0,6941.0,2622.0,3724.0,678.0,1572.0,19270.0,7.338045117363026,19273.0,7.339187521896087,18918.0,7.2040029854838465,11253.0,4.285159403512513,32577.0,12.405370824511431,40901.0,15.575162602245204,38507.0,14.66352378486238,37375.0,14.23245647438729,24671.0,9.394754078384183,12970.0,4.938995597934532,6346.0,2.4165663889354314,2250.0,0.8568033997958904,49444.0,18.82834991089245,68714.0,26.166395028255472,147653.0,56.22648550669449,46237.0,17.607119465050037,21566.0,8.212365386665855,205417.0,78.22310398927664,57187.0,32886.0,12.523038491416735,57.506076555860595,954.0,0.3632846415134575,1.6682113067655238,7984.0,3.0403192639868393,13.961214961442286,142.0,0.05407381456489619,0.2483081819294595,8927.0,3.399415088879073,15.61019112735412,6294.0,2.396764710362371,11.005997866648014,17500.0,6.664026442856925,245104.0,93.33597355714306,64121.0,24.417373688138795,198483.0,0.755826263118612,96232.0,66810.0,49665.0,51.609651675118464,17145.0,17.81631889600133,4854.0,12291.0,29422.0,21270.0,22.10283481586167,8152.0,8.471194613018538,2.68,102968.0,96232.0,93.45816175899309,6736.0,6.541838241006914,96232.0,65449.0,68.01168010640951,30783.0,31.98831989359049
"Robertson County, Tennessee",0500000US47147,66283.0,2342.0,2284.0,2474.0,2363.0,4935.0,4731.0,4086.0,3907.0,2461.0,2368.0,1401.0,1349.0,2685.0,2558.0,4279.0,4343.0,4556.0,4686.0,5133.0,5254.0,3846.0,4097.0,2197.0,2400.0,1016.0,1360.0,244.0,587.0,4626.0,6.979165095122429,4837.0,7.29749709578625,4829.0,7.2854276360454415,2750.0,4.148876785902871,5243.0,7.910022177632274,8622.0,13.007860235656201,9242.0,13.94324336556885,9810.0,14.800175007166242,7943.0,11.983464840155092,4597.0,6.935413303561999,2376.0,3.5846295430200805,831.0,1.2537151305764676,12416.0,18.73180151773456,17042.0,25.710966612856996,33494.0,50.531810569829375,15747.0,23.75722281731364,7804.0,11.773757977158548,57919.0,87.38137984098486,8364.0,4934.0,7.443839295143551,58.99091343854616,234.0,0.35303169741864426,2.7977044476327118,331.0,0.4993738967759456,3.9574366331898614,32.0,0.04827783896323341,0.38259206121472983,1876.0,2.8302883092195588,22.429459588713534,957.0,1.443809121494199,11.441893830703014,3903.0,5.888387671046875,62380.0,94.11161232895311,10124.0,15.27390130199297,56159.0,0.8472609869800704,24197.0,18298.0,14103.0,58.284084803901315,4195.0,17.336859941315037,1311.0,2884.0,5899.0,4822.0,19.92809025912303,1077.0,4.450964995660619,2.71,26086.0,24197.0,92.75856781415318,1889.0,7.241432185846815,24197.0,18296.0,75.61267925775923,5901.0,24.387320742240775
"Stewart County, Tennessee",0500000US47161,13324.0,358.0,331.0,462.0,390.0,926.0,846.0,816.0,771.0,464.0,456.0,291.0,294.0,525.0,477.0,679.0,645.0,840.0,878.0,1063.0,1058.0,945.0,945.0,658.0,681.0,290.0,373.0,80.0,141.0,689.0,5.171119783848694,852.0,6.394476133293306,920.0,6.904833383368358,585.0,4.3905734013809665,1002.0,7.520264184929451,1324.0,9.936955869108376,1718.0,12.894025818072652,1898.0,14.244971480036025,1890.0,14.18492945061543,1339.0,10.04953467427199,663.0,4.975983188231762,221.0,1.6586610627439207,2357.0,17.689882918042628,3046.0,22.861002701891323,6165.0,46.26988892224557,4113.0,30.869108375863103,2223.0,16.68417892524767,12605.0,94.60372260582407,719.0,188.0,1.4109876913839687,26.14742698191933,75.0,0.5628940258180727,10.43115438108484,137.0,1.0282197538276794,19.054242002781642,3.0,0.022515761032722906,0.4172461752433936,81.0,0.6079255478835185,11.265646731571627,235.0,1.763734614229961,32.68428372739917,250.0,1.8763134193935753,13074.0,98.12368658060643,855.0,6.416991894326028,12469.0,0.9358300810567397,5386.0,3793.0,2995.0,55.60712959524694,798.0,14.816190122539918,281.0,517.0,1593.0,1373.0,25.492016338655777,220.0,4.084663943557372,2.46,6778.0,5386.0,79.46296842726468,1392.0,20.53703157273532,5386.0,4158.0,77.20014853323431,1228.0,22.799851466765688
