NAME,GEO_ID,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other
"Montgomery County, Tennessee",0500000US47125,220069.0,137775.0,62.605364681077305,82294.0,44569.0,20.252284510767076,54.15826184168955,1154.0,0.5243809895987167,1.402289352808224,5202.0,2.363804079629571,6.321238486402411,1000.0,0.45440293726058645,1.2151554183780107,7890.0,3.585239174986027,9.587576251002503,22479.0,10.214523626680723,27.3154786497193,22934.0,10.42127696313429,197135.0,89.57872303686571,88775.0,40.339620755308566,131294.0,59.66037924469144,85714.0,79841.0,93.14814382714609,5873.0,6.85185617285391,4714.0,2.1420554462464043,1758.0,37.29316928298685,1084.0,61.66097838452787,22.995333050487908,32.0,1.8202502844141069,0.6788290199406024,642.0,36.51877133105802,13.619007212558337,0.0,0.0,0.0,2956.0,0.0,1450.0,49.05277401894452,30.75943996605855,1321.0,44.68876860622463,28.022910479422997,1321.0,44.68876860622463,28.022910479422997
"Rutherford County, Tennessee",0500000US47149,341486.0,226227.0,66.24781103764137,115259.0,53977.0,15.806504512630093,46.8310500698427,1739.0,0.5092448885166596,1.508775887349361,12538.0,3.6716000070281063,10.87810930165974,254.0,0.07438079452744768,0.22037324634084973,19755.0,5.785010220038303,17.1396593758405,26996.0,7.905448539618022,23.422032118966847,38317.0,11.220664976016586,303169.0,88.77933502398342,122292.0,35.81171702500249,219194.0,64.1882829749975,131216.0,124465.0,94.85504816485795,6751.0,5.144951835142056,5723.0,1.6759105790574138,1851.0,32.34317665560021,774.0,41.81523500810373,13.524375327625371,43.0,2.323068611561318,0.7513541848680763,955.0,51.59373311723393,16.68705224532588,79.0,4.267963263101027,1.380394897780884,3872.0,1.380394897780884,2831.0,73.1146694214876,49.467062729337755,0.0,0.0,0.0,0.0,0.0,0.0
"Sumner County, Tennessee",0500000US47165,196281.0,158075.0,80.5350492406295,38206.0,15740.0,8.019115451826718,41.197717635973405,711.0,0.3622357742216516,1.8609642464534364,2956.0,1.506004147115615,7.737004658954091,119.0,0.06062736586832144,0.311469402711616,5321.0,2.7109093595406586,13.927131864105114,13359.0,6.80605866079753,34.96571219180233,12870.0,6.556926039708378,183411.0,93.44307396029163,41112.0,20.945481223348157,155169.0,79.05451877665183,78995.0,74472.0,94.27432115956707,4523.0,5.725678840432939,1612.0,0.8212715443675139,1377.0,85.42183622828784,572.0,41.539578794480754,35.483870967741936,25.0,1.815541031227306,1.5508684863523574,780.0,56.644880174291934,48.38709677419355,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trousdale County, Tennessee",0500000US47169,11615.0,8883.0,76.47869134739561,2732.0,1922.0,16.547567800258285,70.35139092240117,30.0,0.2582866982350409,1.0980966325036603,27.0,0.23245802841153682,0.9882869692532943,0.0,0.0,0.0,205.0,1.7649591046061126,7.503660322108345,548.0,4.718037021093414,20.05856515373353,375.0,3.2285837279380116,11240.0,96.771416272062,2829.0,24.356435643564357,8786.0,75.64356435643565,3749.0,3469.0,92.53134169111763,280.0,7.468658308882368,2569.0,22.117950925527335,2549.0,99.22148695990658,2505.0,98.2738328756375,97.50875827170104,0.0,0.0,0.0,44.0,1.726167124362495,1.7127286882055275,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Williamson County, Tennessee",0500000US47187,247726.0,203600.0,82.187578211411,44126.0,9876.0,3.9866626837715864,22.38136246204052,574.0,0.23170761244277951,1.3008203780084304,12953.0,5.228760808312409,29.354575533698952,117.0,0.04722960044565367,0.2651497983048543,5172.0,2.0877905427771006,11.720980827629969,15434.0,6.230270540839475,34.97711100031727,14261.0,5.756763520986897,233465.0,94.2432364790131,47318.0,19.100942169978122,200408.0,80.89905783002187,91133.0,86884.0,95.33758353176127,4249.0,4.662416468238728,1359.0,0.548589974407208,1252.0,92.12656364974245,189.0,15.095846645367411,13.90728476821192,28.0,2.2364217252396164,2.060338484179544,1035.0,82.66773162939297,76.15894039735099,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wilson County, Tennessee",0500000US47189,147737.0,120782.0,81.7547398417458,26955.0,10191.0,6.89806886561931,37.80745687256539,601.0,0.4068039827531357,2.2296419959191245,3106.0,2.1023846429804314,11.522908551289186,44.0,0.02978265431137765,0.1632350213318494,3827.0,2.590414046582779,14.197736969022445,9186.0,6.217805966007162,34.07902058987201,8375.0,5.668857496767905,139362.0,94.33114250323209,28848.0,19.52659117215051,118889.0,80.4734088278495,58152.0,55074.0,94.70697482459761,3078.0,5.293025175402394,1866.0,1.263055294205243,1057.0,56.64523043944266,381.0,36.04541154210029,20.418006430868168,17.0,1.608325449385052,0.9110396570203645,659.0,62.34626300851467,35.31618435155413,0.0,0.0,0.0,809.0,0.0,477.0,58.96168108776267,25.562700964630224,0.0,0.0,0.0,0.0,0.0,0.0
"Cheatham County, Tennessee",0500000US47021,41072.0,36788.0,89.56953642384106,4284.0,819.0,1.9940592130892092,19.11764705882353,135.0,0.3286910790806389,3.1512605042016806,191.0,0.4650370081807557,4.458450046685341,26.0,0.06330346708219713,0.6069094304388423,780.0,1.8991040124659135,18.207282913165265,2333.0,5.680268796260226,54.458450046685336,1839.0,4.4775029216984805,39233.0,95.52249707830151,4773.0,11.621055707051033,36299.0,88.37894429294897,16785.0,15706.0,93.57164134644027,1079.0,6.428358653559727,349.0,0.8497273081417998,224.0,64.18338108882521,80.0,35.714285714285715,22.922636103151863,0.0,0.0,0.0,144.0,64.28571428571429,41.260744985673355,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Macon County, Tennessee",0500000US47111,25216.0,22795.0,90.39895304568529,2421.0,121.0,0.4798540609137055,4.997934737711689,102.0,0.404505076142132,4.2131350681536555,45.0,0.17845812182741116,1.858736059479554,8.0,0.031725888324873094,0.3304419661296985,905.0,3.5889911167512687,37.38124741842214,1240.0,4.917512690355331,51.218504750103264,1684.0,6.678299492385786,23532.0,93.32170050761421,2777.0,11.012848984771574,22439.0,88.98715101522842,10649.0,9679.0,90.89116348952953,970.0,9.108836510470466,328.0,1.300761421319797,328.0,100.0,182.0,55.487804878048784,55.487804878048784,0.0,0.0,0.0,146.0,44.51219512195122,44.51219512195122,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
"Robertson County, Tennessee",0500000US47147,72803.0,58467.0,80.30850377044902,14336.0,5168.0,7.098608573822506,36.049107142857146,335.0,0.4601458731096246,2.3367745535714284,460.0,0.631842094419186,3.2087053571428568,21.0,0.028844965180006316,0.146484375,3664.0,5.032759639025864,25.558035714285715,4688.0,6.439295083993792,32.700892857142854,6878.0,9.447412881337309,65925.0,90.5525871186627,15754.0,21.639218164086646,57049.0,78.36078183591336,28459.0,26885.0,94.46923644541269,1574.0,5.530763554587301,807.0,1.1084708047745286,690.0,85.50185873605948,477.0,69.1304347826087,59.10780669144982,0.0,0.0,0.0,213.0,30.869565217391305,26.394052044609666,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Stewart County, Tennessee",0500000US47161,13657.0,12463.0,91.25723072417075,1194.0,172.0,1.2594273998681995,14.40536013400335,78.0,0.5711356813355788,6.532663316582915,77.0,0.5638134290107637,6.448911222780569,2.0,0.014644504649630226,0.16750418760469013,122.0,0.8933147836274438,10.217755443886096,743.0,5.4404334773376295,62.22780569514238,336.0,2.4602767811378783,13321.0,97.53972321886212,1336.0,9.782529105952992,12321.0,90.21747089404701,6669.0,5470.0,82.02129254760834,1199.0,17.978707452391664,235.0,1.7207292963315517,235.0,100.0,167.0,71.06382978723404,71.06382978723404,0.0,0.0,0.0,68.0,28.936170212765955,28.936170212765955,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
