NAME,GEO_ID,pop,raceeth_total_series,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,gq_total_series,gq_institutionalized,gq_institutionalized_correctionalfacilityadults,gq_institutionalized_juvenilefacility,gq_institutionalized_nursingorskillednursingfacility,gq_institutionalized_other,gq_noninstitutionalized,gq_noninstitutionalized_collegeoruniversitystudenthousing,gq_noninstitutionalized_militaryquarters,gq_noninstitutionalized_other,StateFIPS,GeoFIPS
"Montgomery County, Tennessee",0500000US47125,220069.0,220069.0,137775.0,44569.0,1154.0,5202.0,1000.0,7890.0,22479.0,131294.0,22934.0,85714.0,85714.0,79841.0,5873.0,4714.0,1758.0,1084.0,32.0,642.0,0.0,2956.0,1450.0,1321.0,185.0,47.0,125.0
"Rutherford County, Tennessee",0500000US47149,341486.0,341486.0,226227.0,53977.0,1739.0,12538.0,254.0,19755.0,26996.0,219194.0,38317.0,131216.0,131216.0,124465.0,6751.0,5723.0,1851.0,774.0,43.0,955.0,79.0,3872.0,2831.0,0.0,1041.0,47.0,149.0
"Sumner County, Tennessee",0500000US47165,196281.0,196281.0,158075.0,15740.0,711.0,2956.0,119.0,5321.0,13359.0,155169.0,12870.0,78995.0,78995.0,74472.0,4523.0,1612.0,1377.0,572.0,25.0,780.0,0.0,235.0,0.0,0.0,235.0,47.0,165.0
"Trousdale County, Tennessee",0500000US47169,11615.0,11615.0,8883.0,1922.0,30.0,27.0,0.0,205.0,548.0,8786.0,375.0,3749.0,3749.0,3469.0,280.0,2569.0,2549.0,2505.0,0.0,44.0,0.0,20.0,0.0,0.0,20.0,47.0,169.0
"Williamson County, Tennessee",0500000US47187,247726.0,247726.0,203600.0,9876.0,574.0,12953.0,117.0,5172.0,15434.0,200408.0,14261.0,91133.0,91133.0,86884.0,4249.0,1359.0,1252.0,189.0,28.0,1035.0,0.0,107.0,0.0,0.0,107.0,47.0,187.0
"Wilson County, Tennessee",0500000US47189,147737.0,147737.0,120782.0,10191.0,601.0,3106.0,44.0,3827.0,9186.0,118889.0,8375.0,58152.0,58152.0,55074.0,3078.0,1866.0,1057.0,381.0,17.0,659.0,0.0,809.0,477.0,0.0,332.0,47.0,189.0
"Cheatham County, Tennessee",0500000US47021,41072.0,41072.0,36788.0,819.0,135.0,191.0,26.0,780.0,2333.0,36299.0,1839.0,16785.0,16785.0,15706.0,1079.0,349.0,224.0,80.0,0.0,144.0,0.0,125.0,0.0,0.0,125.0,47.0,21.0
"Macon County, Tennessee",0500000US47111,25216.0,25216.0,22795.0,121.0,102.0,45.0,8.0,905.0,1240.0,22439.0,1684.0,10649.0,10649.0,9679.0,970.0,328.0,328.0,182.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,47.0,111.0
"Robertson County, Tennessee",0500000US47147,72803.0,72803.0,58467.0,5168.0,335.0,460.0,21.0,3664.0,4688.0,57049.0,6878.0,28459.0,28459.0,26885.0,1574.0,807.0,690.0,477.0,0.0,213.0,0.0,117.0,0.0,0.0,117.0,47.0,147.0
"Stewart County, Tennessee",0500000US47161,13657.0,13657.0,12463.0,172.0,78.0,77.0,2.0,122.0,743.0,12321.0,336.0,6669.0,6669.0,5470.0,1199.0,235.0,235.0,167.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,47.0,161.0
